method,noise_variance,sigma,gamma,variance,target_variance,variance_ratio
exact_path,100.0,10.0,0.5148514851485149,101.00000000000003,101.0,1.0000000000000002
exact_path,89.12509381337455,9.440608762859233,0.5166435332994616,90.12509381418542,90.12509381337455,1.0000000000089972
exact_path,79.43282347242814,8.912509381337454,0.5186491028816637,80.43282347234964,80.43282347242814,0.999999999999024
exact_path,70.79457843841381,8.413951416451951,0.5208929425121803,71.79457843904767,71.79457843841381,1.0000000000088287
exact_path,63.09573444801933,7.943282347242815,0.5234024933627444,64.09573444911467,64.09573444801933,1.0000000000170892
exact_path,56.23413251903491,7.498942093324558,0.5262081372422501,57.234132518814185,57.23413251903491,0.9999999999961435
exact_path,50.11872336272722,7.079457843841379,0.5293434558088693,51.11872336281063,51.11872336272722,1.0000000000016316
exact_path,44.6683592150963,6.6834391756861455,0.53284549797235,45.66835921543141,45.6683592150963,1.000000000007338
exact_path,39.810717055349734,6.309573444801933,0.5367550513255039,40.810717055449366,40.810717055349734,1.0000000000024414
exact_path,35.48133892335755,5.956621435290105,0.5411169119409598,36.481338923085396,36.48133892335755,0.99999999999254
exact_path,31.622776601683793,5.623413251903491,0.5459801450475733,32.622776601673905,32.622776601683796,0.9999999999996968
exact_path,28.183829312644534,5.3088444423098835,0.5513983269272374,29.183829312834185,29.183829312644534,1.0000000000064986
exact_path,25.118864315095795,5.011872336272722,0.5574297558233822,26.118864314832834,26.118864315095795,0.9999999999899322
exact_path,22.3872113856834,4.731512589614805,0.5641376167198041,23.387211385429712,23.3872113856834,0.9999999999891527
exact_path,19.952623149688787,4.46683592150963,0.5715900815513059,20.95262314960551,20.952623149688787,0.9999999999960255
exact_path,17.78279410038923,4.216965034285822,0.5798603228030337,18.78279410035133,18.78279410038923,0.9999999999979824
exact_path,15.848931924611133,3.9810717055349722,0.5890264146541514,16.84893192437877,16.848931924611133,0.9999999999862091
exact_path,14.12537544622754,3.758374042884441,0.5991710920057934,15.125375446104353,15.12537544622754,0.9999999999918556
exact_path,12.589254117941675,3.548133892335755,0.6103813341763603,13.589254117893365,13.589254117941675,0.999999999996445
exact_path,11.220184543019629,3.3496543915782757,0.622747737132728,12.220184542838124,12.220184543019629,0.9999999999851471
exact_path,10.0,3.1622776601683795,0.6363636363636364,10.999999999809868,11.0,0.9999999999827153
exact_path,8.912509381337454,2.9853826189179595,0.651323942535085,9.912509381228253,9.912509381337454,0.9999999999889835
exact_path,7.943282347242813,2.8183829312644533,0.6677236546671754,8.943282347146548,8.943282347242814,0.9999999999892359
exact_path,7.079457843841377,2.6607250597988092,0.6856560216034032,8.079457843691033,8.079457843841377,0.9999999999813919
exact_path,6.30957344480193,2.5118864315095797,0.7052103329048152,7.309573444697394,7.30957344480193,0.9999999999856988
exact_path,5.62341325190349,2.371373705661655,0.7264693358169849,6.623413251831651,6.62341325190349,0.9999999999891537
exact_path,5.011872336272722,2.2387211385683394,0.7495062962248429,6.0118723361510815,6.011872336272722,0.9999999999797666
exact_path,4.46683592150963,2.1134890398366464,0.7743817487000388,5.466835921420026,5.46683592150963,0.9999999999836096
exact_path,3.9810717055349714,1.9952623149688793,0.8011400133696527,4.981071705467361,4.981071705534971,0.9999999999864266
exact_path,3.5481338923357533,1.8836490894898001,0.8298055940102624,4.548133892237962,4.548133892335754,0.9999999999784984
exact_path,3.1622776601683795,1.7782794100389228,0.8603796100280632,4.162277660092818,4.16227766016838,0.9999999999818461
exact_path,2.8183829312644537,1.6788040181225603,0.892836451189372,3.818382931191202,3.8183829312644537,0.999999999980816
exact_path,2.5118864315095797,1.5848931924611134,0.9271208734262022,3.5118864314328846,3.5118864315095797,0.9999999999781612
exact_path,2.238721138568339,1.4962356560944332,0.9631457713778556,3.2387211385137213,3.238721138568339,0.999999999983136
exact_path,1.9952623149688788,1.412537544622754,1.000790863125317,2.9952623148994304,2.995262314968879,0.9999999999768139
exact_path,1.7782794100389228,1.333521432163324,1.0399025002956725,2.7782794099831736,2.7782794100389228,0.9999999999799339
exact_path,1.5848931924611134,1.258925411794167,1.0802947697702854,2.5848931923993286,2.5848931924611134,0.9999999999760978
exact_path,1.412537544622754,1.1885022274370183,1.1217519819922859,2.4125375445712054,2.412537544622754,0.9999999999786331
exact_path,1.2589254117941668,1.1220184543019633,1.1640325493565609,2.2589254117394635,2.258925411794167,0.9999999999757835
exact_path,1.122018454301963,1.0592537251772887,1.2068741541615973,2.1220184542555085,2.122018454301963,0.9999999999781084
exact_path,1.0,1.0,1.25,1.9999999999509144,2.0,0.9999999999754572
exact_path,0.891250938133745,0.9440608762859231,1.2931258458384032,1.891250938093396,1.891250938133745,0.9999999999786654
exact_path,0.7943282347242814,0.8912509381337455,1.335967450643439,1.7943282346792873,1.7943282347242815,0.9999999999749242
exact_path,0.707945784384138,0.8413951416451951,1.378248018007714,1.7079457843455845,1.7079457843841381,0.999999999977427
exact_path,0.630957344480193,0.7943282347242814,1.4197052302297148,1.6309573444421717,1.630957344480193,0.9999999999766876
exact_path,0.5623413251903491,0.7498942093324559,1.4600974997043277,1.562341325151309,1.562341325190349,0.9999999999750118
exact_path,0.501187233627272,0.7079457843841377,1.4992091368746834,1.5011872335930037,1.501187233627272,0.9999999999771725
exact_path,0.44668359215096304,0.6683439175686146,1.5368542286221445,1.4466835921165448,1.446683592150963,0.9999999999762088
exact_path,0.3981071705534969,0.630957344480193,1.5728791265737982,1.398107170517906,1.3981071705534969,0.9999999999745436
exact_path,0.3548133892335753,0.5956621435290104,1.6071635488106282,1.354813389199596,1.3548133892335752,0.9999999999749196
exact_path,0.31622776601683794,0.5623413251903491,1.6396203899719368,1.3162277659862622,1.316227766016838,0.9999999999767701
exact_path,0.2818382931264452,0.5308844442309882,1.670194405989738,1.2818382930953094,1.2818382931264451,0.9999999999757101
exact_path,0.25118864315095796,0.5011872336272722,1.6988599866303475,1.2511886431196861,1.251188643150958,0.9999999999750062
exact_path,0.22387211385683378,0.4731512589614803,1.7256182512999614,1.2238721138257118,1.2238721138568338,0.9999999999745709
exact_path,0.19952623149688786,0.446683592150963,1.7504937037751571,1.1995262314667807,1.199526231496888,0.9999999999749007
exact_path,0.1778279410038923,0.4216965034285823,1.773530664183015,1.1778279409756074,1.1778279410038923,0.9999999999759855
exact_path,0.15848931924611126,0.39810717055349715,1.7947896670951853,1.1584893192179897,1.1584893192461112,0.9999999999757258
exact_path,0.1412537544622754,0.37583740428844414,1.8143439783965971,1.141253754434051,1.1412537544622754,0.999999999975269
exact_path,0.12589254117941662,0.3548133892335753,1.8322763453328244,1.1258925411515135,1.1258925411794167,0.9999999999752168
exact_path,0.1122018454301963,0.3349654391578276,1.8486760574649153,1.112201845401869,1.1122018454301963,0.9999999999745304
exact_path,0.1,0.31622776601683794,1.8636363636363633,1.0999999999718262,1.1,0.9999999999743874
exact_path,0.0891250938133745,0.2985382618917959,1.8772522628672719,1.0891250937854615,1.0891250938133745,0.9999999999743712
exact_path,0.07943282347242814,0.28183829312644537,1.8896186658236394,1.0794328234448012,1.0794328234724282,0.999999999974406
exact_path,0.07079457843841373,0.26607250597988086,1.900828907994207,1.0707945784112165,1.0707945784384136,0.999999999974601
exact_path,0.0630957344480193,0.25118864315095796,1.9109735853458485,1.0630957344212513,1.0630957344480194,0.9999999999748206
exact_path,0.056234132519034905,0.23713737056616552,1.920139677196966,1.0562341324925757,1.056234132519035,0.9999999999749494
exact_path,0.0501187233627272,0.2238721138568339,1.9284099184486942,1.0501187233364389,1.0501187233627272,0.9999999999749664
exact_path,0.0446683592150963,0.21134890398366465,1.935862383280196,1.0446683591888843,1.0446683592150963,0.9999999999749088
exact_path,0.03981071705534969,0.1995262314968879,1.942570244176618,1.039810717029173,1.0398107170553497,0.9999999999748256
exact_path,0.03548133892335753,0.18836490894898,1.9486016730727627,1.0354813388972124,1.0354813389233575,0.9999999999747508
exact_path,0.03162277660168379,0.17782794100389226,1.9540198549524266,1.0316227765755834,1.0316227766016839,0.9999999999746996
exact_path,0.028183829312644522,0.16788040181225597,1.9588830880590402,1.0281838292866041,1.0281838293126446,0.9999999999746733
exact_path,0.025118864315095794,0.15848931924611132,1.9632449486744963,1.025118864289124,1.0251188643150957,0.9999999999746647
exact_path,0.022387211385683378,0.1496235656094433,1.96715450202765,1.0223872113597807,1.0223872113856833,0.9999999999746646
exact_path,0.01995262314968879,0.1412537544622754,1.970656544191131,1.0199526231238492,1.0199526231496887,0.9999999999746659
exact_path,0.01778279410038923,0.1333521432163324,1.97379186275775,1.0177827940746023,1.0177827941003892,0.9999999999746636
exact_path,0.015848931924611124,0.12589254117941667,1.9765975066372556,1.0158489318988644,1.0158489319246111,0.9999999999746549
exact_path,0.01412537544622754,0.11885022274370183,1.9791070574878198,1.014125375420509,1.0141253754462276,0.9999999999746397
exact_path,0.012589254117941661,0.11220184543019629,1.9813508971183365,1.012589254092241,1.0125892541179418,0.9999999999746187
exact_path,0.01122018454301963,0.10592537251772886,1.9833564667005386,1.0112201845173279,1.0112201845430195,0.9999999999745934
exact_path,0.01,0.1,1.9851485148514851,1.009999999974311,1.01,0.9999999999745653
exact_path,0.008912509381337459,0.09440608762859236,1.9867493326252803,1.0089125093556468,1.0089125093813374,0.9999999999745364
exact_path,0.007943282347242805,0.0891250938133745,1.9881789742245046,1.0079432823215477,1.0079432823472427,0.9999999999745075
exact_path,0.0070794578438413735,0.08413951416451948,1.989455462840541,1.0070794578181403,1.0070794578438413,0.9999999999744796
exact_path,0.006309573444801929,0.07943282347242812,1.990594981487849,1.0063095734190948,1.006309573444802,0.999999999974454
exact_path,0.005623413251903491,0.07498942093324558,1.991612049036748,1.0056234132261905,1.0056234132519035,0.9999999999744308
exact_path,0.005011872336272725,0.0707945784384138,1.9925196818949684,1.0050118723105543,1.0050118723362726,0.9999999999744099
exact_path,0.004466835921509625,0.06683439175686141,1.9933295419593244,1.004466835895787,1.0044668359215096,0.9999999999743916
exact_path,0.003981071705534969,0.0630957344480193,1.9940520715712717,1.0039810716798088,1.003981071705535,0.9999999999743757
exact_path,0.0035481338923357532,0.059566214352901034,1.9946966162770279,1.0035481338666072,1.0035481338923358,0.9999999999743624
exact_path,0.0031622776601683794,0.05623413251903491,1.9952715362251099,1.0031622776344382,1.0031622776601683,0.9999999999743511
exact_path,0.002818382931264455,0.053088444423098846,1.9957843070401844,1.0028183829055335,1.0028183829312645,0.9999999999743413
