window,start_step,end_step_exclusive,input_band,mode,total_rms_mean,output_low_rms_mean,output_mid_rms_mean,output_high_rms_mean
0,0,33,low,recursive,0.7180140158161521,0.36289095919346437,0.40905197872780263,0.46094453730620444
0,0,33,low,replay,0.7023657192476094,0.35519076109630987,0.3978851080755703,0.4527660697931424
0,0,33,mid,recursive,0.26101863707299344,0.11395167761656921,0.15174902067519724,0.1779128243215382
0,0,33,mid,replay,0.2605717465339694,0.11378475528908893,0.15149908361490816,0.1775861430214718
0,0,33,high,recursive,0.09771526517579332,0.039968414333998226,0.05548200514749624,0.0691610812136787
0,0,33,high,replay,0.09772154038364533,0.03998238861822756,0.05548389371688245,0.06915918482991401
1,33,66,low,recursive,0.23714448790997267,0.12274723296286538,0.12986464201821946,0.15307164497789927
1,33,66,low,replay,0.2381649893359281,0.12341589672723785,0.13051590157556348,0.1535508932720404
1,33,66,mid,recursive,0.19752591906581074,0.08122015686240047,0.11734058419824578,0.13557026119087823
1,33,66,mid,replay,0.19808696547988802,0.08165645800181665,0.117619081371231,0.1358782638271805
1,33,66,high,recursive,0.16619046760024503,0.061759855336276814,0.09151066248887219,0.12375968368723989
1,33,66,high,replay,0.16842835600255057,0.06262885211617686,0.09260152344359085,0.12551251595141366
2,66,99,low,recursive,0.15397377335466444,0.149994857609272,0.024078690679743886,0.024902318546082824
2,66,99,low,replay,0.15396704350132495,0.14998837327584624,0.02407766052056104,0.024901006574509665
2,66,99,mid,recursive,0.1230920817470178,0.02528672164771706,0.11457059253007174,0.03710817077080719
2,66,99,mid,replay,0.12310913950204849,0.02528981037903577,0.11458519124425948,0.03711698038387112
2,66,99,high,recursive,0.14815901243127882,0.02896278354455717,0.04084892719401978,0.13938603817950934
2,66,99,high,replay,0.14819248346611857,0.028956773021491244,0.04084907937794924,0.1394248679280281
