id,window,input_band,mode,total_rms,out_low,out_mid,out_high
0,0,0,recursive,0.3996008634567261,0.17733901739120483,0.21908731758594513,0.28325334191322327
0,0,0,replay,0.39926677942276,0.17771190404891968,0.21893960237503052,0.2826620936393738
0,0,1,recursive,0.3049616813659668,0.13450179994106293,0.1708083599805832,0.21385835111141205
0,0,1,replay,0.3049267530441284,0.1352051943540573,0.17059634625911713,0.21353398263454437
0,0,2,recursive,0.07392505556344986,0.031038114801049232,0.04054412618279457,0.05345766991376877
0,0,2,replay,0.0741160437464714,0.0311603806912899,0.04064403474330902,0.05357500538229942
0,1,0,recursive,0.4319535493850708,0.20209327340126038,0.2677328288555145,0.27214205265045166
0,1,0,replay,0.43217718601226807,0.2026873230934143,0.2672823369503021,0.27249792218208313
0,1,1,recursive,0.4308048188686371,0.18699544668197632,0.2723010778427124,0.27654585242271423
0,1,1,replay,0.39818426966667175,0.17295245826244354,0.25209975242614746,0.25511541962623596
0,1,2,recursive,0.17762824892997742,0.06535898894071579,0.09995264559984207,0.13148939609527588
0,1,2,replay,0.17797070741653442,0.06453568488359451,0.09931713342666626,0.1328338086605072
0,2,0,recursive,0.1248217225074768,0.12074781954288483,0.02245176210999489,0.02227877825498581
0,2,0,replay,0.12481944262981415,0.1207457110285759,0.022451126947999,0.022278135642409325
0,2,1,recursive,0.12137424945831299,0.0250867810100317,0.11305920779705048,0.036331478506326675
0,2,1,replay,0.12138792872428894,0.02508905902504921,0.11307219415903091,0.03633521497249603
0,2,2,recursive,0.14237360656261444,0.027956964448094368,0.04015074670314789,0.13370327651500702
0,2,2,replay,0.14242076873779297,0.02796190045773983,0.040163613855838776,0.1337485909461975
4,0,0,recursive,0.5362873077392578,0.22704362869262695,0.31453800201416016,0.3702985942363739
4,0,0,replay,0.5545045733451843,0.2326277792453766,0.3225913345813751,0.3863863945007324
4,0,1,recursive,0.21248884499073029,0.0871671661734581,0.12013670057058334,0.15205447375774384
4,0,1,replay,0.21207448840141296,0.08691629022359848,0.11990542709827423,0.1518019437789917
4,0,2,recursive,0.07427171617746353,0.026584964245557785,0.041805509477853775,0.05533377081155777
4,0,2,replay,0.07427991926670074,0.02658040076494217,0.041808441281318665,0.055344756692647934
4,1,0,recursive,0.2485266625881195,0.10292411595582962,0.13844868540763855,0.17889684438705444
4,1,0,replay,0.24881841242313385,0.10296467691659927,0.13868984580039978,0.17909212410449982
4,1,1,recursive,0.41506800055503845,0.14563964307308197,0.24296091496944427,0.3033818304538727
4,1,1,replay,0.4176259934902191,0.1465374380350113,0.24452711641788483,0.30519622564315796
