condition,depth,selection_count,selection_fraction,selection_total
screen_spectral_router_native,4,45907,0.39575,116000
screen_spectral_router_native,6,18276,0.15755172413793103,116000
screen_spectral_router_native,8,31108,0.26817241379310347,116000
screen_spectral_router_native,10,12969,0.11180172413793103,116000
screen_spectral_router_native,12,7740,0.06672413793103449,116000
screen_spectral_router_rms,4,44044,0.38301794907471826,114992
screen_spectral_router_rms,6,18762,0.16315917629052457,114992
screen_spectral_router_rms,8,32321,0.2810717267288159,114992
screen_spectral_router_rms,10,13020,0.11322526784471963,114992
screen_spectral_router_rms,12,6845,0.05952588006122165,114992
screen_spectral_anti_router_native,4,7821,0.0841329604130809,92960
screen_spectral_anti_router_native,6,4831,0.051968588640275384,92960
screen_spectral_anti_router_native,8,9676,0.10408777969018933,92960
screen_spectral_anti_router_native,10,8445,0.09084552495697074,92960
screen_spectral_anti_router_native,12,62187,0.6689651462994837,92960
screen_spectral_anti_router_rms,4,7793,0.07991181296144381,97520
screen_spectral_anti_router_rms,6,4994,0.05121000820344545,97520
screen_spectral_anti_router_rms,8,10291,0.10552707136997538,97520
screen_spectral_anti_router_rms,10,8592,0.08810500410172273,97520
screen_spectral_anti_router_rms,12,65850,0.6752461033634126,97520
