provider,evidence_label,known_best_fid1k_gain,time,rms,centroid,dc_fraction,low_fraction,mid_fraction,high_fraction
depth4_v,depth_probe,nan,0.019999999552965164,0.09951134026050568,0.30538493394851685,0.09210540354251862,0.28591108322143555,0.10534942895174026,0.6087394952774048
depth6_v,depth_probe,nan,0.019999999552965164,0.101715087890625,0.3285614848136902,0.069918192923069,0.22862447798252106,0.11486819386482239,0.6565073728561401
depth8_v,useful,12.4539,0.019999999552965164,0.10077416151762009,0.3553709387779236,0.051328182220458984,0.16775909066200256,0.1121738851070404,0.7200670838356018
depth8_x,useful,5.6779,0.019999999552965164,0.05416717380285263,0.24063628911972046,0.15751095116138458,0.4324384033679962,0.1143341138958931,0.4532274603843689
depth8_epsilon,useful,7.191,0.019999999552965164,1.7193584442138672,0.380719393491745,0.012467125430703163,0.0706552192568779,0.13460233807563782,0.7947424650192261
depth10_v,depth_probe,nan,0.019999999552965164,0.0702761858701706,0.3312898278236389,0.08264027535915375,0.21273554861545563,0.1197265237569809,0.6675379276275635
depth12_v,depth_probe,nan,0.019999999552965164,0.013253644108772278,0.3500278890132904,0.09620465338230133,0.161415696144104,0.10628288239240646,0.7323014140129089
depth12_x,failed,0.0458,0.019999999552965164,0.03473655879497528,0.2596951723098755,0.10538071393966675,0.3992297947406769,0.10962054133415222,0.4911496639251709
external_v500,useful,6.6,0.019999999552965164,0.016537383198738098,0.1653449982404709,0.27337485551834106,0.6066828966140747,0.09793727844953537,0.2953798472881317
final_linear_x,failed,-0.3325,0.019999999552965164,0.1982477307319641,0.3637624680995941,0.07622416317462921,0.12833672761917114,0.10061903297901154,0.7710442543029785
raw_final_h4,depth_probe,nan,0.019999999552965164,5.636302947998047,0.40125852823257446,0.004840086214244366,0.0350678488612175,0.11398714035749435,0.850944995880127
raw_final_h6,depth_probe,nan,0.019999999552965164,4.560866355895996,0.40061745047569275,0.00541100325062871,0.03640667721629143,0.11402643471956253,0.8495668768882751
raw_final_h8,failed,-0.039,0.019999999552965164,3.020289897918701,0.39961931109428406,0.006401489954441786,0.039618171751499176,0.11367131769657135,0.8467105627059937
raw_final_h10,depth_probe,nan,0.019999999552965164,0.8312206268310547,0.3961275517940521,0.008990250527858734,0.04707317799329758,0.1147511750459671,0.8381756544113159
depth4_v,depth_probe,nan,0.03999999910593033,0.11250776052474976,0.2712339162826538,0.14289440214633942,0.3650261461734772,0.103519968688488,0.5314539074897766
depth6_v,depth_probe,nan,0.03999999910593033,0.11308261007070541,0.29971253871917725,0.10886505246162415,0.298094242811203,0.11102550476789474,0.590880274772644
