name,group,hypothesis_id,kind,provider,amplitude,interval,band,order,gamma,rms_matched,reverse,depth,depths,num_samples,integrator,fid,sfid,inception_score,noise_sha256,label_sha256,total_nfe,elapsed_seconds,fid_improvement_vs_matched_baseline
screen_spectral_anti_router_rms,screen,idea2_spectral_routing,spectral_router,,,,,,0.4,True,True,,[],1000,dopri5,77.19690996226785,211.10409603353605,30.4848575592041,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,12190,133.85461834800662,7.7717944315680825
screen_map_depth8_v_native_late_high,screen,causal_map,band_time,depth8_v,native,late,high,,0.4,,,,[],1000,dopri5,78.32075266647257,221.31443083411898,29.981952667236328,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7810,60.908380904002115,6.647951727363363
screen_map_external_v500_native_mid_high,screen,causal_map,band_time,external_v500,native,mid,high,,3.0,,,,[],1000,dopri5,78.3810725604219,221.40878723372725,31.195772171020508,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8050,96.60054649598897,6.5876318334140365
screen_spectral_anti_router_native,screen,idea2_spectral_routing,spectral_router,,,,,,0.4,False,True,,[],1000,dopri5,79.06952843641398,217.4329043468914,29.817432403564453,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,11620,117.81128829199588,5.89917595742196
screen_order_external_v500_native_coarse_to_fine,screen,causal_order,ordered_bands,external_v500,native,,,coarse_to_fine,3.0,,,,[],1000,dopri5,79.29628446198683,222.44113300082813,31.70107650756836,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,10234,127.68860502599273,5.672419931849106
screen_static_depth10,screen,idea1_time_varying_depth,static_depth,,,,,,0.4,False,,10,[],1000,dopri5,79.54117419359477,215.57965223542578,28.935800552368164,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8044,57.60842549102381,5.427530200241165
screen_order_external_v500_equal_action_coarse_to_fine,screen,causal_order,ordered_bands,external_v500,equal_action,,,coarse_to_fine,3.0,,,,[],1000,dopri5,80.1361086750851,221.36981383194018,31.02806854248047,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8056,105.75673140300205,4.832595718750838
screen_order_depth8_v_native_fine_to_coarse,screen,causal_order,ordered_bands,depth8_v,native,,,fine_to_coarse,0.4,,,,[],1000,dopri5,80.46135221639918,220.08347877081997,30.65302848815918,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7366,63.74936851399252,4.507352177436758
screen_order_external_v500_equal_action_fine_to_coarse,screen,causal_order,ordered_bands,external_v500,equal_action,,,fine_to_coarse,3.0,,,,[],1000,dopri5,80.54443564915181,221.2075733146612,31.686838150024414,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8470,108.80239034199622,4.424268744684127
screen_order_depth8_v_equal_action_fine_to_coarse,screen,causal_order,ordered_bands,depth8_v,equal_action,,,fine_to_coarse,0.4,,,,[],1000,dopri5,80.56616504528489,220.21704982490883,30.627904891967773,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7690,67.15059743099846,4.402539348551045
screen_map_depth8_v_equal_action_mid_high,screen,causal_map,band_time,depth8_v,equal_action,mid,high,,0.4,,,,[],1000,dopri5,80.63639338869484,220.2084907247803,29.850643157958984,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6922,54.717536696000025,4.332311005141094
