name,group,hypothesis_id,kind,provider,amplitude,interval,band,order,gamma,rms_matched,reverse,depth,depths,num_samples,integrator,fid,sfid,inception_score,noise_sha256,label_sha256,total_nfe,elapsed_seconds,fid_improvement_vs_matched_baseline,fid_gain_vs_adaptive_baseline,matched_baseline_name,matched_baseline_fid,fid_gain_vs_integrator_baseline
screen_map_depth12_x_native_late_high,screen,causal_map,band_time,depth12_x,native,late,high,,0.08,,,,[],1000,dopri5,85.05498001516719,222.75412909767056,28.938928604125977,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7084,55.6011883969768,-0.0862756213312536,-0.08627562133125366,screen_baseline_adaptive,84.96870439383594,-0.08627562133125366
screen_map_depth12_x_native_late_low,screen,causal_map,band_time,depth12_x,native,late,low,,0.08,,,,[],1000,dopri5,84.89930044946288,222.1212946103965,29.559720993041992,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6640,53.69914228998823,0.0694039443730503,0.06940394437305031,screen_baseline_adaptive,84.96870439383594,0.06940394437305031
screen_map_depth12_x_native_late_mid,screen,causal_map,band_time,depth12_x,native,late,mid,,0.08,,,,[],1000,dopri5,84.87925145474355,222.34495587566323,29.425472259521484,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6874,56.09122961899266,0.0894529390923821,0.08945293909238217,screen_baseline_adaptive,84.96870439383594,0.08945293909238217
screen_map_depth12_x_native_mid_high,screen,causal_map,band_time,depth12_x,native,mid,high,,0.08,,,,[],1000,dopri5,84.84956047216161,222.2838819338988,29.56767845153809,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6616,52.87468005897245,0.1191439216743219,0.11914392167432197,screen_baseline_adaptive,84.96870439383594,0.11914392167432197
screen_map_depth12_x_native_mid_low,screen,causal_map,band_time,depth12_x,native,mid,low,,0.08,,,,[],1000,dopri5,84.93458268266409,222.2273984143852,29.54210662841797,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6640,54.71669607900549,0.0341217111718492,0.034121711171849256,screen_baseline_adaptive,84.96870439383594,0.034121711171849256
screen_map_depth12_x_native_mid_mid,screen,causal_map,band_time,depth12_x,native,mid,mid,,0.08,,,,[],1000,dopri5,84.91073805784538,222.3222694469407,29.56542015075684,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6706,53.44397534703603,0.0579663359905566,0.05796633599055667,screen_baseline_adaptive,84.96870439383594,0.05796633599055667
screen_map_depth8_v_equal_action_early_high,screen,causal_map,band_time,depth8_v,equal_action,early,high,,0.4,,,,[],1000,dopri5,82.83543605043826,220.73856111259067,30.135072708129883,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6826,54.82071644201642,2.133268343397674,2.133268343397674,screen_baseline_adaptive,84.96870439383594,2.133268343397674
screen_map_depth8_v_equal_action_early_low,screen,causal_map,band_time,depth8_v,equal_action,early,low,,0.4,,,,[],1000,dopri5,81.41860025537176,218.95087430880423,30.80936813354492,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6856,53.186463119986,3.550104138464178,3.550104138464178,screen_baseline_adaptive,84.96870439383594,3.550104138464178
screen_map_depth8_v_equal_action_early_mid,screen,causal_map,band_time,depth8_v,equal_action,early,mid,,0.4,,,,[],1000,dopri5,82.77219050533296,220.7178129151314,30.76092529296875,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6706,53.287934181978926,2.1965138885029774,2.1965138885029774,screen_baseline_adaptive,84.96870439383594,2.1965138885029774
screen_map_depth8_v_equal_action_late_high,screen,causal_map,band_time,depth8_v,equal_action,late,high,,0.4,,,,[],1000,dopri5,81.78443459342134,221.68213059878465,29.677345275878903,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6994,55.39202267001383,3.1842698004145973,3.1842698004145973,screen_baseline_adaptive,84.96870439383594,3.1842698004145973
