name,group,hypothesis_id,kind,provider,amplitude,interval,band,order,gamma,rms_matched,reverse,depth,depths,num_samples,integrator,fid,sfid,inception_score,noise_sha256,label_sha256,total_nfe,elapsed_seconds,fid_improvement_vs_matched_baseline,fid_gain_vs_adaptive_baseline,matched_baseline_name,matched_baseline_fid,fid_gain_vs_integrator_baseline
screen_order_depth12_x_equal_action_coarse_to_fine,screen,causal_order,ordered_bands,depth12_x,equal_action,,,coarse_to_fine,0.08,,,,[],1000,dopri5,84.83319255564896,222.02516317118463,29.419273376464844,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6604,59.23976757394848,0.1355118381869715,0.13551183818697154,screen_baseline_adaptive,84.96870439383594,0.13551183818697154
screen_order_depth12_x_equal_action_fine_to_coarse,screen,causal_order,ordered_bands,depth12_x,equal_action,,,fine_to_coarse,0.08,,,,[],1000,dopri5,84.87959145212699,222.32189546856432,29.61424827575684,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6640,59.30850235500839,0.0891129417089473,0.08911294170894735,screen_baseline_adaptive,84.96870439383594,0.08911294170894735
screen_order_depth12_x_native_coarse_to_fine,screen,causal_order,ordered_bands,depth12_x,native,,,coarse_to_fine,0.08,,,,[],1000,dopri5,85.01444353715249,222.6082620907364,28.914573669433597,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7162,63.60952779301442,-0.0457391433165526,-0.0457391433165526,screen_baseline_adaptive,84.96870439383594,-0.0457391433165526
screen_order_depth12_x_native_fine_to_coarse,screen,causal_order,ordered_bands,depth12_x,native,,,fine_to_coarse,0.08,,,,[],1000,dopri5,84.8731629522182,222.19520827984525,29.498144149780277,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6670,58.79672753997147,0.0955414416177404,0.09554144161774047,screen_baseline_adaptive,84.96870439383594,0.09554144161774047
screen_order_depth8_v_equal_action_coarse_to_fine,screen,causal_order,ordered_bands,depth8_v,equal_action,,,coarse_to_fine,0.4,,,,[],1000,dopri5,76.79484678437149,218.0049110999936,30.96319961547852,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7378,63.877273394027725,8.173857609464449,8.173857609464449,screen_baseline_adaptive,84.96870439383594,8.173857609464449
screen_order_depth8_v_equal_action_fine_to_coarse,screen,causal_order,ordered_bands,depth8_v,equal_action,,,fine_to_coarse,0.4,,,,[],1000,dopri5,80.56616504528489,220.21704982490883,30.627904891967773,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7690,67.15059743099846,4.402539348551045,4.402539348551045,screen_baseline_adaptive,84.96870439383594,4.402539348551045
screen_order_depth8_v_native_coarse_to_fine,screen,causal_order,ordered_bands,depth8_v,native,,,coarse_to_fine,0.4,,,,[],1000,dopri5,74.62466720703037,218.66754187531544,30.423263549804688,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7888,71.1284838130232,10.344037186805563,10.344037186805565,screen_baseline_adaptive,84.96870439383594,10.344037186805565
screen_order_depth8_v_native_fine_to_coarse,screen,causal_order,ordered_bands,depth8_v,native,,,fine_to_coarse,0.4,,,,[],1000,dopri5,80.46135221639918,220.08347877082,30.65302848815918,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7366,63.74936851399252,4.507352177436758,4.507352177436758,screen_baseline_adaptive,84.96870439383594,4.507352177436758
screen_order_external_v500_equal_action_coarse_to_fine,screen,causal_order,ordered_bands,external_v500,equal_action,,,coarse_to_fine,3.0,,,,[],1000,dopri5,80.1361086750851,221.36981383194015,31.02806854248047,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8056,105.75673140300204,4.832595718750838,4.832595718750838,screen_baseline_adaptive,84.96870439383594,4.832595718750838
screen_order_external_v500_equal_action_fine_to_coarse,screen,causal_order,ordered_bands,external_v500,equal_action,,,fine_to_coarse,3.0,,,,[],1000,dopri5,80.54443564915181,221.2075733146612,31.68683815002441,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8470,108.80239034199622,4.424268744684127,4.424268744684127,screen_baseline_adaptive,84.96870439383594,4.424268744684127
screen_order_external_v500_native_coarse_to_fine,screen,causal_order,ordered_bands,external_v500,native,,,coarse_to_fine,3.0,,,,[],1000,dopri5,79.29628446198683,222.44113300082813,31.70107650756836,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,10234,127.68860502599271,5.672419931849106,5.672419931849106,screen_baseline_adaptive,84.96870439383594,5.672419931849106
screen_order_external_v500_native_fine_to_coarse,screen,causal_order,ordered_bands,external_v500,native,,,fine_to_coarse,3.0,,,,[],1000,dopri5,80.97328349050787,221.38194015187744,31.313629150390625,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7882,100.16419853403931,3.995420903328068,3.9954209033280677,screen_baseline_adaptive,84.96870439383594,3.9954209033280677
