band,atlas_lag_steps,requested_lag_time,realized_lag_time_mean,symmetric_nmse,cosine,comparison_count
low,0,0.0,0.0,0.01112406997353679,0.9940173073512751,41
low,1,0.019999995827674866,0.019999999462104425,0.010540546244223284,0.9941821040176764,41
low,2,0.03999999165534973,0.03999999937851254,0.012278513632936222,0.9935979683224748,41
low,3,0.0599999874830246,0.05999999974922436,0.019030608557641687,0.9913879894628758,41
low,4,0.07999998331069946,0.07999999912046804,0.036077261445958665,0.9855387007317892,41
low,5,0.09999997913837433,0.09999999888241291,0.042329812909156314,0.9835187867283821,40
low,6,0.1199999749660492,0.11999999922819626,0.0485264523266755,0.981459664992797,39
low,7,0.13999997079372406,0.13999999843929944,0.05474192055714268,0.9793496696572555,38
low,8,0.15999996662139893,0.1599999982360247,0.06100646860274562,0.9771925565358754,37
mid,0,0.0,0.0,0.09700130939017981,0.951013355720334,41
mid,1,0.019999995827674866,0.019999999462104425,0.09626565129132714,0.9517032067950179,41
mid,2,0.03999999165534973,0.03999999937851254,0.10585709351183074,0.9507726212827171,41
mid,3,0.0599999874830246,0.05999999974922436,0.12966320824968378,0.9475271687275026,41
mid,4,0.07999998331069946,0.07999999912046804,0.16921342258546046,0.9400299031560014,41
mid,5,0.09999997913837433,0.09999999888241291,0.18804770363494755,0.9380079925060272,40
mid,6,0.1199999749660492,0.11999999922819626,0.2092508054815997,0.9349727187401209,39
mid,7,0.13999997079372406,0.13999999843929944,0.23230260054237747,0.9311321236585316,38
mid,8,0.15999996662139893,0.1599999982360247,0.2568253454173336,0.9266692625509726,37
high,0,0.0,0.0,0.2651219216357099,0.8790638999241155,41
high,1,0.019999995827674866,0.019999999462104425,0.27313877084496907,0.8797769706423689,41
high,2,0.03999999165534973,0.03999999937851254,0.29015806304836056,0.8793199004196539,41
high,3,0.0599999874830246,0.05999999974922436,0.3171460796942616,0.8769844537828027,41
high,4,0.07999998331069946,0.07999999912046804,0.354404049175905,0.8711557119357877,41
high,5,0.09999997913837433,0.09999999888241291,0.36582308951765297,0.8753743194043636,40
high,6,0.1199999749660492,0.11999999922819626,0.382006444180241,0.8781175575195215,39
high,7,0.13999997079372406,0.13999999843929944,0.40228194517916754,0.8795237533356014,38
high,8,0.15999996662139893,0.1599999982360247,0.4260420514824423,0.8798104057440886,37
