name,display_name,group,hypothesis_id,kind,provider,amplitude,interval,band,order,gamma,rms_matched,reverse,depth,depths,num_samples,integrator,fid,sfid,inception_score,noise_sha256,label_sha256,total_nfe,elapsed_seconds,fid_improvement_vs_matched_baseline,fid_gain_vs_adaptive_baseline,matched_baseline_name,matched_baseline_fid,fid_gain_vs_integrator_baseline
screen_depth_schedule_native_coarse_to_fine,Depth 4->8->10,screen,idea1_time_varying_depth,depth_schedule,,,,,coarse_to_fine,0.4,False,,,"[4, 8, 10]",1000,dopri5,68.30638784668116,213.49504315366332,33.404449462890625,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8662,67.14785578398732,16.662316547154774,16.662316547154774,screen_baseline_adaptive,84.96870439383594,16.662316547154774
screen_depth_schedule_rms_coarse_to_fine,Depth 4->8->10 (RMS),screen,idea1_time_varying_depth,depth_schedule,,,,,coarse_to_fine,0.4,True,,,"[4, 8, 10]",1000,dopri5,69.57393814247558,214.71469829325827,32.69050598144531,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8734,72.6864869800047,15.394766251360352,15.394766251360352,screen_baseline_adaptive,84.96870439383594,15.394766251360352
screen_spectral_router_rms,Spectral router (RMS),screen,idea2_spectral_routing,spectral_router,,,,,,0.4,True,False,,[],1000,dopri5,70.31485037987528,216.11139933301504,31.7278995513916,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,14374,156.31264391198056,14.653854013960654,14.653854013960654,screen_baseline_adaptive,84.96870439383594,14.653854013960654
screen_spectral_router_native,Spectral router,screen,idea2_spectral_routing,spectral_router,,,,,,0.4,False,False,,[],1000,dopri5,70.56816097910956,216.50930321996407,31.474515914916992,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,14500,153.40744394500507,14.400543414726371,14.400543414726371,screen_baseline_adaptive,84.96870439383594,14.400543414726371
screen_full_external_v500,Full v800-v500 gap,screen,successful_failed_control,full_gap,external_v500,,,,,3.0,,,,[],1000,dopri5,72.09247584033312,219.25224344183016,34.7202033996582,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,10018,109.99684654199518,12.876228553502813,12.876228553502813,screen_baseline_adaptive,84.96870439383594,12.876228553502813
screen_static_depth6,screen_static_depth6,screen,idea1_time_varying_depth,static_depth,,,,,,0.4,False,,6.0,[],1000,dopri5,72.5083625842733,218.3738275949397,30.28967666625977,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8572,59.67850401101168,12.460341809562635,12.460341809562635,screen_baseline_adaptive,84.96870439383594,12.460341809562635
screen_static_depth4,screen_static_depth4,screen,idea1_time_varying_depth,static_depth,,,,,,0.4,False,,4.0,[],1000,dopri5,73.0107472516662,219.5943160535344,31.00305938720703,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8668,61.55594347498845,11.957957142169732,11.957957142169732,screen_baseline_adaptive,84.96870439383594,11.957957142169732
screen_static_depth8,screen_static_depth8,screen,idea1_time_varying_depth,static_depth,,,,,,0.4,False,,8.0,[],1000,dopri5,73.31840333471905,217.7719947488947,30.254093170166016,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8458,59.499011362029705,11.650301059116885,11.650301059116885,screen_baseline_adaptive,84.96870439383594,11.650301059116885
screen_full_depth8_v,Full depth-8 gap,screen,successful_failed_control,full_gap,depth8_v,,,,,0.4,,,,[],1000,dopri5,73.32598342516724,217.77273512678835,30.25908660888672,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8458,63.53676467598416,11.642720968668698,11.642720968668698,screen_baseline_adaptive,84.96870439383594,11.642720968668698
screen_euler_depth8_gamma0p4,Euler + depth-8 gap,screen,idea3_spectral_delay,euler_depth8,,,,,,0.4,,,,[],1000,fixed_euler,73.60763236538821,217.44590060001963,30.98763465881348,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,12500,76.47809755802155,12.214519279142904,11.361072028447722,screen_euler_baseline,85.82215164453112,12.214519279142905
