provider,evidence_label,known_best_fid1k_gain,rms_mean,rms_max,centroid_mean,low_fraction_mean,mid_fraction_mean,high_fraction_mean
depth10_v,depth_probe,,0.17612542504189058,0.2654365003108978,0.3425854105575412,0.1555225054423014,0.138614708886427,0.7058627897617864
depth12_v,depth_probe,,0.013471807718423014,0.0151518620550632,0.3003773724331575,0.28290320056326246,0.11438956856727595,0.6027072294085634
depth12_x,failed,0.0458,0.30144287660425784,1.917075634002685,0.316645753734252,0.20273266659647807,0.15192432248709245,0.6453430126695072
depth4_v,depth_probe,,0.31518909510444193,0.4870277643203735,0.318155938503789,0.20227603862682975,0.15472547856031676,0.6429984873416377
depth6_v,depth_probe,,0.308876699384521,0.4742072224617004,0.338342569622339,0.16951920515766328,0.13814502925265065,0.6923357739168055
depth8_epsilon,useful,7.191,0.4798104073487076,1.7193584442138672,0.3796856087796828,0.07627127363401297,0.13006072973503782,0.7936680059806973
depth8_v,useful,12.4539,0.27706127876744546,0.4202700853347778,0.35146932391559377,0.14890439560015992,0.12993431514969056,0.721161287204892
depth8_x,useful,5.6779,0.5293205677002084,2.317325592041016,0.31165154804201683,0.2214249087607159,0.14472404326878338,0.63385104840877
external_v500,useful,6.6,0.060280400529211596,0.0837351754307746,0.28915976513834557,0.2535589061239186,0.17116522438385903,0.5752758731444677
final_linear_x,failed,-0.3325,0.6750766814631575,3.33618688583374,0.347694828229792,0.15302176021185573,0.1250196124116579,0.721958624381645
raw_final_h10,depth_probe,,0.48605993506955164,0.8312206268310547,0.37207747440712124,0.10931361868393184,0.10457107512389908,0.786115310940088
raw_final_h4,depth_probe,,4.303509630408942,6.206382751464844,0.369463560627956,0.13219560595119698,0.08648885596616591,0.7813155405661639
raw_final_h6,depth_probe,,3.5672197832780728,5.037219047546387,0.36589667317914026,0.14263427980682425,0.08376095166393352,0.7736047740076103
raw_final_h8,failed,-0.039,1.8009483498685501,3.020289897918701,0.3802410282340704,0.1137118258458726,0.08407732800525775,0.8022108463680043
