time,model,model_kind,first_branch,second_branch,first_bayes_mse,second_bayes_mse,first_paired_mse,second_paired_mse,branch_error_cosine_mean,branch_error_cosine_negative_fraction,oracle_gate_mean,oracle_bayes_mse,oracle_gain_over_best_branch,learned_gate_mean,learned_bayes_mse,learned_gate_mae_to_oracle
0.01,D0_xeps,x_plus_epsilon,x,epsilon,0.0027106059715151787,9179.6015625,0.9746010303497314,9180.556640625,0.027990682050585747,0.2294921875,0.9999978542327881,0.00271011283621192,0.00018192806643280157,,,
0.01,D1_scaled,x_plus_epsilon,x,epsilon,0.003021836746484041,9217.3291015625,0.9742932319641113,9218.2734375,0.0364636555314064,0.16845703125,0.9999990463256836,0.003021703101694584,4.422634333667297e-05,0.999030351638794,0.020484384149312973,0.0009686010889708996
0.01,D2_velocity,x_plus_epsilon,x,epsilon,0.0033954866230487823,9567.05078125,0.9755122065544128,9567.986328125,0.03475354239344597,0.184814453125,0.9999988079071045,0.0033953343518078327,4.484518946890059e-05,0.9999273419380188,0.003505796892568469,7.149451994337142e-05
0.01,D4_safe,x_plus_epsilon,x,epsilon,0.003972331061959267,9708.1494140625,0.9742110371589661,9709.09765625,0.023805951699614525,0.260498046875,0.9999974370002747,0.00397183932363987,0.00012379087032954317,0.9998915195465088,0.004174578003585339,0.00010586723510641605
0.01,S0_xv,x_plus_v,x,v,0.0016418355517089367,0.927399218082428,0.9732836484909058,1.8994964361190796,0.0313401073217392,0.13818359375,0.9993944764137268,0.0016408893279731274,0.0005763206521045561,,,
0.01,S1_xv,x_plus_v,x,v,0.001629723235964775,0.9266970157623291,0.9729713201522827,1.8983187675476074,0.03118140622973442,0.13818359375,0.9994175434112549,0.0016288001788780093,0.0005663888606333156,,,
0.03,D0_xeps,x_plus_epsilon,x,epsilon,0.0034781894646584988,1015.9754638671875,0.8445532321929932,1016.7896728515625,-0.012056881561875343,0.652099609375,0.9999622106552124,0.003474004101008177,0.0012033167522497168,,,
0.03,D1_scaled,x_plus_epsilon,x,epsilon,0.0033036330714821815,1020.1517944335938,0.8443243503570557,1020.9635620117188,-0.013087265193462372,0.658447265625,0.9999611973762512,0.003299298696219921,0.0013120026251328687,0.9997960329055786,0.003377176122739911,0.0001767398789525032
0.03,D2_velocity,x_plus_epsilon,x,epsilon,0.0038718313444405794,1057.615478515625,0.845152735710144,1058.424072265625,-0.013021069578826427,0.697021484375,0.9999573826789856,0.003866436891257763,0.0013932562405029048,0.9999637603759766,0.0038711854722350836,4.219540278427303e-05
0.03,D4_safe,x_plus_epsilon,x,epsilon,0.005289859604090452,1070.2938232421875,0.8429388403892517,1071.1181640625,-0.006237237714231014,0.61083984375,0.9999662637710571,0.005285849794745445,0.0007580181035251599,0.9998971223831177,0.005300384946167469,8.398697536904365e-05
0.03,S0_xv,x_plus_v,x,v,0.0029880066867917776,0.9245201349258423,0.8435981869697571,1.7635499238967896,0.0354863703250885,0.1455078125,0.9988300204277039,0.002984516089782119,0.0011682025428820797,,,
0.03,S1_xv,x_plus_v,x,v,0.002967904321849346,0.9240903854370117,0.8433811068534851,1.7629876136779785,0.03828766942024231,0.113525390625,0.9989765882492065,0.0029649841599166393,0.0009839137708075318,,,
