name,cohort_index,samples,seed,parity,directory,runner_metric_source,trajectory_through_decode_wall_seconds,trajectory_plus_decode_component_sum_seconds,runner_wall_seconds,outer_wall_seconds,stage2_forward_calls,stage2_sample_forwards,decoder_forward_calls,decoder_sample_forwards
reflection100,3,1000,202609173,False,/home/zhoushunyu/data/eqvae/experiments/raev2_guidance_restart_20260906/scale_extension_5k_v1/cohort_3/reflection100,total_wall_seconds_before_summary,1250.8014707239345,1250.7891194596887,1289.618023807183,1295.7779278689995,25000,200000,125,1000
reflection100,4,1000,202609174,False,/home/zhoushunyu/data/eqvae/experiments/raev2_guidance_restart_20260906/scale_extension_5k_v1/cohort_4/reflection100,total_wall_seconds_before_summary,1288.9700706372969,1288.9563085990958,1328.359998648055,1335.134227310773,25000,200000,125,1000
native_official201,1,1000,202609171,False,/home/zhoushunyu/data/eqvae/experiments/raev2_guidance_restart_20260906/scale_extension_5k_v1/cohort_1/native_official201,total_wall_seconds_before_summary,1291.6501531316899,1291.6368472198956,1330.5271173948422,1336.891076234635,25125,201000,125,1000
native_official201,2,1000,202609172,False,/home/zhoushunyu/data/eqvae/experiments/raev2_guidance_restart_20260906/scale_extension_5k_v1/cohort_2/native_official201,total_wall_seconds_before_summary,1269.3365272693336,1269.3235452296212,1309.9963289499283,1317.1884593577124,25125,201000,125,1000
native_official201,3,1000,202609173,False,/home/zhoushunyu/data/eqvae/experiments/raev2_guidance_restart_20260906/scale_extension_5k_v1/cohort_3/native_official201,total_wall_seconds_before_summary,1253.9306001574732,1253.9173619127832,1294.1559837199748,1301.0497531150468,25125,201000,125,1000
native_official201,4,1000,202609174,False,/home/zhoushunyu/data/eqvae/experiments/raev2_guidance_restart_20260906/scale_extension_5k_v1/cohort_4/native_official201,total_wall_seconds_before_summary,1293.4375381618738,1293.4247062844224,1332.4498026669025,1339.064550057985,25125,201000,125,1000
spatial_parity16,1,16,202609171,True,/home/zhoushunyu/data/eqvae/experiments/raev2_guidance_restart_20260906/scale_extension_5k_v1/cohort_1/spatial_parity16,total_wall_seconds_before_summary,,,44.391232275404036,50.63605053490028,400,3200,4,32
spatial_parity16,2,16,202609172,True,/home/zhoushunyu/data/eqvae/experiments/raev2_guidance_restart_20260906/scale_extension_5k_v1/cohort_2/spatial_parity16,total_wall_seconds_before_summary,,,44.40035117510706,50.73236766317859,400,3200,4,32
spatial_parity16,3,16,202609173,True,/home/zhoushunyu/data/eqvae/experiments/raev2_guidance_restart_20260906/scale_extension_5k_v1/cohort_3/spatial_parity16,total_wall_seconds_before_summary,,,43.8517968240194,50.35814757877961,400,3200,4,32
spatial_parity16,4,16,202609174,True,/home/zhoushunyu/data/eqvae/experiments/raev2_guidance_restart_20260906/scale_extension_5k_v1/cohort_4/spatial_parity16,total_wall_seconds_before_summary,,,43.64096740214154,49.89505369774997,400,3200,4,32
reflection_parity16,1,16,202609171,True,/home/zhoushunyu/data/eqvae/experiments/raev2_guidance_restart_20260906/scale_extension_5k_v1/cohort_1/reflection_parity16,total_wall_seconds_before_summary,,,54.16150053218007,59.99846421414986,404,3232,4,32
reflection_parity16,2,16,202609172,True,/home/zhoushunyu/data/eqvae/experiments/raev2_guidance_restart_20260906/scale_extension_5k_v1/cohort_2/reflection_parity16,total_wall_seconds_before_summary,,,55.65790087496862,61.70274419989437,404,3232,4,32
reflection_parity16,3,16,202609173,True,/home/zhoushunyu/data/eqvae/experiments/raev2_guidance_restart_20260906/scale_extension_5k_v1/cohort_3/reflection_parity16,total_wall_seconds_before_summary,,,55.84417432779446,61.36994639504701,404,3232,4,32
reflection_parity16,4,16,202609174,True,/home/zhoushunyu/data/eqvae/experiments/raev2_guidance_restart_20260906/scale_extension_5k_v1/cohort_4/reflection_parity16,total_wall_seconds_before_summary,,,54.90944590140134,60.77706105588004,404,3232,4,32
spatial_energy_balls_v1_parity16,0,16,202609121,True,/home/zhoushunyu/data/eqvae/experiments/raev2_guidance_restart_20260906/spatial_energy_balls_v1/parity16,total_wall_seconds_before_summary,,,43.85172131401487,,400,3200,4,32
affine_reflection_v1_parity16,0,16,202609131,True,/home/zhoushunyu/data/eqvae/experiments/raev2_guidance_restart_20260906/affine_reflection_v1/parity16,total_wall_seconds_before_summary,,,55.164734974037856,,404,3232,4,32
