family,arm,group,sample_count,stage2_nfe_per_sample,trajectory_through_decode_wall_seconds,trajectory_plus_decode_component_sum_seconds,runner_wall_seconds,outer_wall_seconds,stage2_forward_calls,stage2_sample_forwards,decoder_forward_calls,decoder_sample_forwards
global_proximal,candidate,old1k,1000,100.0,,,660.031315575121,,12500.0,100000.0,,
global_proximal,candidate,new4k,4000,100.0,,,2687.1688562333584,2696.241434229538,50000.0,400000.0,,
global_proximal,candidate,pooled5k,5000,100.0,,,3347.2001718084794,,62500.0,500000.0,,
global_proximal,official100,old1k,1000,100.0,,,663.28106965404,,12500.0,100000.0,,
global_proximal,official100,new4k,4000,100.0,,,2668.796844481025,2677.959429699462,50000.0,400000.0,,
global_proximal,official100,pooled5k,5000,100.0,,,3332.077914135065,,62500.0,500000.0,,
legacy_energy_ball,candidate,old1k,1000,100.0,,,686.6144863169175,,12500.0,100000.0,,
legacy_energy_ball,candidate,new4k,4000,100.0,,,2689.700489158742,2699.2330198986456,50000.0,400000.0,,
legacy_energy_ball,candidate,pooled5k,5000,100.0,,,3376.3149754756596,,62500.0,500000.0,,
legacy_energy_ball,official100,old1k,1000,100.0,,,663.28106965404,,12500.0,100000.0,,
legacy_energy_ball,official100,new4k,4000,100.0,,,2668.796844481025,2677.959429699462,50000.0,400000.0,,
legacy_energy_ball,official100,pooled5k,5000,100.0,,,3332.077914135065,,62500.0,500000.0,,
native_global_ball,candidate,old1k,1000,100.0,,636.7160393772647,665.7121823169291,,12500.0,100000.0,125.0,1000.0
native_global_ball,candidate,new4k,4000,100.0,,2566.6847135229036,2682.981511713937,2709.7056209342554,50000.0,400000.0,500.0,4000.0
native_global_ball,candidate,pooled5k,5000,100.0,,3203.4007529001683,3348.693694030866,,62500.0,500000.0,625.0,5000.0
native_global_ball,official100,old1k,1000,100.0,,638.7863248540089,667.4067951750476,,12500.0,100000.0,125.0,1000.0
native_global_ball,official100,new4k,4000,100.0,2542.9770918102004,2542.920525163412,2704.2078278441913,2731.421534324065,50000.0,400000.0,500.0,4000.0
native_global_ball,official100,pooled5k,5000,100.0,,3181.706850017421,3371.614623019239,,62500.0,500000.0,625.0,5000.0
affine_reflection,candidate,old1k,1000,200.0,1258.481310865609,1258.4689764077775,1297.776199799031,1304.3810944820289,25000.0,200000.0,125.0,1000.0
affine_reflection,candidate,new4k,4000,200.0,5092.742573927157,5092.6900330893695,5250.414025100414,5277.376406609546,100000.0,800000.0,500.0,4000.0
affine_reflection,candidate,pooled5k,5000,200.0,6351.223884792766,6351.159009497147,6548.190224899445,6581.757501091575,125000.0,1000000.0,625.0,5000.0
affine_reflection,official100,old1k,1000,100.0,630.5232712451834,630.5105894219596,669.5268901439849,675.7114363200963,12500.0,100000.0,125.0,1000.0
affine_reflection,official100,new4k,4000,100.0,2542.9770918102004,2542.920525163412,2704.2078278441913,2731.421534324065,50000.0,400000.0,500.0,4000.0
affine_reflection,official100,pooled5k,5000,100.0,3173.500363055384,3173.4311145853717,3373.7347179881763,3407.132970644161,62500.0,500000.0,625.0,5000.0
affine_reflection,official201,old1k,1000,201.0,1262.836439841194,1262.824104925152,1302.4690921790898,1309.386470287107,25125.0,201000.0,125.0,1000.0
affine_reflection,official201,new4k,4000,201.0,5108.3548187203705,5108.3024606467225,5267.129232731648,5294.193838765379,100500.0,804000.0,500.0,4000.0
affine_reflection,official201,pooled5k,5000,201.0,6371.191258561565,6371.126565571874,6569.598324910738,6603.580309052486,125625.0,1005000.0,625.0,5000.0
