time,model,model_kind,first_branch,second_branch,first_bayes_mse,second_bayes_mse,first_paired_mse,second_paired_mse,branch_error_cosine_mean,branch_error_cosine_negative_fraction,oracle_gate_mean,oracle_bayes_mse,oracle_gain_over_best_branch,learned_gate_mean,learned_bayes_mse,learned_gate_mae_to_oracle
0.01,D0_xeps,x_plus_epsilon,x,epsilon,0.0022098692134022713,9213.064453125,0.9796818494796753,9213.970703125,0.024766193702816963,0.26416015625,0.9999977350234985,0.0022094601299613714,0.00018511658446518364,,,
0.01,D1_scaled,x_plus_epsilon,x,epsilon,0.0020509986206889153,9215.447265625,0.9800535440444946,9216.3623046875,0.02351268380880356,0.2783203125,0.9999974966049194,0.0020505208522081375,0.00023294432085829708,0.9994520545005798,0.009725598618388176,0.0005455837235786021
0.01,D2_velocity,x_plus_epsilon,x,epsilon,0.0037168050184845924,9584.34375,0.9802639484405518,9585.2666015625,0.03308185935020447,0.197021484375,0.9999986290931702,0.0037166201509535313,4.973829139320873e-05,0.9999367594718933,0.00381670193746686,6.198236951604486e-05
0.01,D4_safe,x_plus_epsilon,x,epsilon,0.0020796936005353928,9736.958984375,0.9814389944076538,9737.876953125,0.007574247196316719,0.40478515625,0.9999953508377075,0.0020785066299140453,0.0005707430272622327,0.9999063014984131,0.0022033294662833214,8.931251068133861e-05
0.01,S0_xv,x_plus_v,x,v,0.001466316869482398,0.9358233213424683,0.9799890518188477,1.9134281873703003,0.02256682887673378,0.203857421875,0.9992697834968567,0.0014650567900389433,0.0008593500284147515,,,
0.01,S1_xv,x_plus_v,x,v,0.0012557832524180412,0.9356914758682251,0.9797226190567017,1.9135369062423706,0.020320482552051544,0.235107421875,0.9993699193000793,0.0012548102531582117,0.0007748146489101604,,,
0.03,D0_xeps,x_plus_epsilon,x,epsilon,0.003522415179759264,1020.1552734375,0.8455777764320374,1021.0269775390625,-0.018044989556074142,0.73046875,0.999954104423523,0.0035171438939869404,0.0014964975743386733,,,
0.03,D1_scaled,x_plus_epsilon,x,epsilon,0.0035647344775497913,1020.3804321289062,0.8442936539649963,1021.248291015625,-0.01850341260433197,0.73291015625,0.9999521970748901,0.0035589649342000484,0.0016185057782224233,0.9999508261680603,0.0035709466319531202,5.987465556245297e-05
0.03,D2_velocity,x_plus_epsilon,x,epsilon,0.0035924576222896576,1060.678466796875,0.8447085618972778,1061.546875,-0.02087845280766487,0.780517578125,0.9999492168426514,0.0035859839990735054,0.0018020040587218844,0.99997478723526,0.0035908042918890715,4.3667518184520304e-05
0.03,D4_safe,x_plus_epsilon,x,epsilon,0.00464961864054203,1074.2811279296875,0.8464615941047668,1075.1407470703125,-0.011057769879698753,0.663330078125,0.9999617338180542,0.0046447222121059895,0.0010530817287566219,0.999897837638855,0.004657420329749584,8.272213744930923e-05
0.03,S0_xv,x_plus_v,x,v,0.00276692071929574,0.9331711530685425,0.843794584274292,1.7758938074111938,0.030861077830195427,0.18212890625,0.9987977147102356,0.002763599157333374,0.001200454331489298,,,
0.03,S1_xv,x_plus_v,x,v,0.0026535168290138245,0.9334003925323486,0.8434618711471558,1.7761080265045166,0.03347618132829666,0.156005859375,0.9989824295043945,0.0026508376467972994,0.00100967221584225,,,
0.1,D0_xeps,x_plus_epsilon,x,epsilon,0.006287266965955496,91.57264709472656,0.28504708409309387,91.85090637207031,0.0033499302808195353,0.472412109375,0.9999430775642395,0.006286422722041607,0.00013427836267498883,,,
0.1,D1_scaled,x_plus_epsilon,x,epsilon,0.005744708236306906,91.56254577636719,0.28349536657333374,91.84046173095703,0.0032752049155533314,0.4853515625,0.9999451637268066,0.005743934772908688,0.00013463928304136008,0.9999938011169434,0.00574467470869422,5.300033080857247e-05
0.1,D2_velocity,x_plus_epsilon,x,epsilon,0.0054278867319226265,95.23835754394531,0.28369462490081787,95.51554870605469,0.0015308016445487738,0.531982421875,0.9999344348907471,0.005426769144833088,0.0002058972754471755,0.999987781047821,0.005427812226116657,5.999943823553622e-05
0.1,D4_safe,x_plus_epsilon,x,epsilon,0.007365197874605656,96.4500732421875,0.2848726511001587,96.72702026367188,0.0014383797533810139,0.525390625,0.9999182224273682,0.007363456301391125,0.00023645979974762366,0.9994941353797913,0.007396566681563854,0.00044115009950473905
0.1,S0_xv,x_plus_v,x,v,0.0035526498686522245,0.9337771534919739,0.28083330392837524,1.211301565170288,0.03872710093855858,0.132568359375,0.9986623525619507,0.0035483436658978462,0.0012121100906608007,,,
0.1,S1_xv,x_plus_v,x,v,0.0034485175274312496,0.9339456558227539,0.28079745173454285,1.2114381790161133,0.04089852422475815,0.114501953125,0.9988260865211487,0.0034449961967766285,0.00102111432713059,,,
0.3,D0_xeps,x_plus_epsilon,x,epsilon,0.020234424620866776,10.143141746520996,0.04239489510655403,10.165352821350098,0.03239314630627632,0.1171875,0.9996451139450073,0.02022872492671013,0.00028168303588771426,,,
0.3,D1_scaled,x_plus_epsilon,x,epsilon,0.020305287092924118,10.1421480178833,0.04241383075714111,10.164348602294922,0.0325087308883667,0.114501953125,0.9996596574783325,0.020300202071666718,0.0002504284344333474,0.9999774694442749,0.020305266603827477,0.0003411651123315096
0.3,D2_velocity,x_plus_epsilon,x,epsilon,0.020262382924556732,10.570515632629395,0.042611341923475266,10.592683792114258,0.031746819615364075,0.11669921875,0.9996722936630249,0.020258359611034393,0.00019856072887969312,0.9999887347221375,0.02026234194636345,0.0003248691209591925
0.3,D4_safe,x_plus_epsilon,x,epsilon,0.021752486005425453,10.733543395996094,0.04395795613527298,10.755769729614258,0.028403401374816895,0.170654296875,0.9994533061981201,0.02174249477684498,0.0004593143320714699,0.9981427192687988,0.021809596568346024,0.0016488664550706744
0.3,S0_xv,x_plus_v,x,v,0.005725391209125519,0.9342284798622131,0.027982212603092194,0.956486701965332,0.0433880016207695,0.176513671875,0.9981545209884644,0.005713676568120718,0.002046085686883581,,,
0.3,S1_xv,x_plus_v,x,v,0.005105073098093271,0.933987021446228,0.027353785932064056,0.9562201499938965,0.04271489381790161,0.166015625,0.9984440207481384,0.005096215754747391,0.0017350081332211387,,,
0.5,D0_xeps,x_plus_epsilon,x,epsilon,0.009233597666025162,3.6434547901153564,0.018689757212996483,3.652883529663086,0.024822700768709183,0.195556640625,0.9989278316497803,0.009221628308296204,0.001296283221544181,,,
0.5,D1_scaled,x_plus_epsilon,x,epsilon,0.008775046095252037,3.6428956985473633,0.018135974183678627,3.6523399353027344,0.025871431455016136,0.195068359375,0.9990847110748291,0.008766144514083862,0.001014419875582373,0.999988853931427,0.008774986490607262,0.0009095720597542822
0.5,D2_velocity,x_plus_epsilon,x,epsilon,0.012138701044023037,3.8076272010803223,0.021577991545200348,3.817042112350464,0.02170979417860508,0.239501953125,0.9982928037643433,0.012104861438274384,0.002787745214741566,0.9996730089187622,0.012134665623307228,0.0015134315472096205
0.5,D4_safe,x_plus_epsilon,x,epsilon,0.011703211814165115,3.881804943084717,0.021146727725863457,3.891221046447754,0.020051006227731705,0.263671875,0.9983038902282715,0.011676926165819168,0.0022460200467475655,0.9969672560691833,0.01171206310391426,0.0022788550704717636
