left,right,endpoint_rms
no_ig,no_ig,0.0
no_ig,early,0.29306563818688436
no_ig,middle,0.21960928127374307
no_ig,late,0.232522655097944
no_ig,early_middle,0.36777680767633664
no_ig,early_late,0.3932812316281996
no_ig,middle_late,0.3526158193082303
no_ig,full_ig,0.46799263879329767
early,no_ig,0.29306563818688436
early,early,0.0
early,middle,0.2947034124473853
early,late,0.3857647640947961
early,early_middle,0.19559103560941102
early,early_late,0.2300277558856365
early,middle_late,0.4050696505595521
early,full_ig,0.33607573865383
middle,no_ig,0.21960928127374307
middle,early,0.2947034124473853
middle,middle,0.0
middle,late,0.2997480729298855
middle,early_middle,0.31196463873557145
middle,early_late,0.3727884008461505
middle,middle_late,0.22975221276684493
middle,full_ig,0.40760560288729764
late,no_ig,0.232522655097944
late,early,0.3857647640947961
late,middle,0.2997480729298855
late,late,0.0
late,early_middle,0.4334524238899546
late,early_late,0.35793065203483954
late,middle_late,0.2686403768964306
late,full_ig,0.43729580595067047
early_middle,no_ig,0.36777680767633664
early_middle,early,0.19559103560941102
early_middle,middle,0.31196463873557145
early_middle,late,0.4334524238899546
early_middle,early_middle,0.0
early_middle,early_late,0.28483731186945266
early_middle,middle_late,0.401617181028957
early_middle,full_ig,0.22889701876869106
early_late,no_ig,0.3932812316281996
early_late,early,0.2300277558856365
early_late,middle,0.3727884008461505
early_late,late,0.35793065203483954
early_late,early_middle,0.28483731186945266
early_late,early_late,0.0
early_late,middle_late,0.3540359577128214
early_late,full_ig,0.23984119114831703
middle_late,no_ig,0.3526158193082303
middle_late,early,0.4050696505595521
middle_late,middle,0.22975221276684493
middle_late,late,0.2686403768964306
middle_late,early_middle,0.401617181028957
middle_late,early_late,0.3540359577128214
middle_late,middle_late,0.0
middle_late,full_ig,0.37189027242366635
full_ig,no_ig,0.46799263879329767
full_ig,early,0.33607573865383
full_ig,middle,0.40760560288729764
full_ig,late,0.43729580595067047
full_ig,early_middle,0.22889701876869106
full_ig,early_late,0.23984119114831703
full_ig,middle_late,0.37189027242366635
full_ig,full_ig,0.0
