schedule,phase_mask,active_phases,endpoint_delta_from_no_ig_rms_mean,endpoint_distance_to_full_ig_rms_mean,full_ig_effect_projection_mean,full_ig_effect_projection_median,effect_cosine_to_full_ig_mean,off_axis_residual_over_full_effect_mean,unit_injected_energy_mean,actual_injected_energy_mean,unit_coherent_rms_mean,actual_coherent_rms_mean
no_ig,0,none,0.0,0.46799263879329767,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
early,1,early,0.29306563818688436,0.33607573865383,0.4189045652354249,0.4119288535002887,0.6652444493174319,0.4384768212643516,4.08980612953691e-06,2.4882380492102565e-06,0.008534768247045577,0.00665711923269555
middle,2,middle,0.21960928127374307,0.40760560288729764,0.2343179705014727,0.2538566889296893,0.48491719304184855,0.4009936735128962,4.046584937711373e-05,2.4619422761035993e-05,0.03177775931544602,0.024786652266047895
late,4,late,0.232522655097944,0.43729580595067047,0.19529949987161,0.18608900587322896,0.3783211804119092,0.4607134681497642,0.008810914380916302,0.005360560309349479,0.2811249569058418,0.21927746638655665
early_middle,3,early+middle,0.36777680767633664,0.22889701876869106,0.6823172708412556,0.6907590246381408,0.8716861338026374,0.37745769805197427,4.4978552246499603e-05,2.736495118677036e-05,0.037794243544340134,0.029479509964585305
early_late,5,early+late,0.3932812316281996,0.23984119114831703,0.6985975338553766,0.7273985171726516,0.8330041009075847,0.4310143792951081,0.008893965883818078,0.005411088843714919,0.28426092863082886,0.2217235243320465
middle_late,6,middle+late,0.3526158193082303,0.37189027242366635,0.4742098095837206,0.4789770603576088,0.6104237502987417,0.5733527547056274,0.00906498532388511,0.005515137071051702,0.3011354021728039,0.23488561369478705
full_ig,7,early+middle+late,0.46799263879329767,0.0,1.0,1.0,1.0,0.0,0.009207977996946948,0.005602133813342523,0.30608564615249634,0.23874680399894715
