phase,shapley_vector_rms_mean,shapley_projection_fraction_mean,shapley_projection_fraction_median,shapley_cosine_to_full_effect_mean
early,0.30089843329475413,0.4734478234343328,0.46307669775759075,0.7328283798351842
middle,0.18848051934360138,0.26896065697049637,0.2692719066696495,0.6427495827024626
late,0.21365571929259322,0.25759155348746055,0.24554839574639914,0.5478959477923762
