arm,fid,independent_fid,inception_score,sampling_seconds,full_forwards_per_sample,prefix_forwards_per_sample,noise_sha256,label_sha256,pixel_sha256
ordinary,38.264238946601836,38.264263257648395,59.07736701965332,802.9826601501554,100.0,0.0,3bebe5620b03cd433af57362f9bb0fa7e4ea76881ef4d6d000e1c012378e58e1,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,0de7afa03228b6d2bd068368a1e02977de4bc03df6aa9272d7b9b55af16f648e
conditional,53.18481314907336,53.18483252957736,60.4029125213623,2925.4830358326435,319.0,89.0,3bebe5620b03cd433af57362f9bb0fa7e4ea76881ef4d6d000e1c012378e58e1,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,87b30ce6c2c2271262ff9ca12012527cc101bb936baa94b65a31cd4658d96385
unconditional,48.630231910321356,48.630250956852876,54.709342575073244,2695.4486167160794,319.0,89.0,3bebe5620b03cd433af57362f9bb0fa7e4ea76881ef4d6d000e1c012378e58e1,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,e7daedc7d783303aafbc6404ffe9e88d4a6dc160ea498e1e765775e148dd77dc
posterior,44.000009044129,44.0000265857708,68.64940948486328,2680.6388827818446,319.0,89.0,3bebe5620b03cd433af57362f9bb0fa7e4ea76881ef4d6d000e1c012378e58e1,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,9420d622b86f3b5bac4c3bac15e8676438d562351e40f5866f97ba73684a1ad8
