model,arm,fid,sfid,inception_score
v,time_only,68.44713311764247,211.34617957893317,34.066349029541016
v,ou,65.77988525999427,213.17151259975572,35.82984924316406
x,time_only,68.02232713399837,209.60222317898013,32.98847961425781
x,ou,65.44088381802908,211.50987280746426,37.25483322143555
