head,samples,data_velocity_mse,data_velocity_mse_delta_original,data_velocity_mse_paired_se,teacher_velocity_mse,teacher_velocity_mse_delta_original,teacher_velocity_mse_paired_se
original,1000,0.47727609661221504,0.0,0.0,0.06914125991333273,0.0,0.0
data,1000,0.4805088853985071,0.0032327887862920756,9.208377125479663e-05,0.07235763373831285,0.0032163738249801127,8.593191755747449e-05
teacher,1000,0.47810357742011544,0.0008274808079004288,2.9563973019866053e-05,0.06977142859203736,0.0006301686787046479,2.3188809068767585e-05
