sample,index,noise_time,h,H,native_rms,latent_rms,identity_residual_rms,contrast_rms,contrast_over_native,contrast_cos_native,clock_rms,clock_over_native,clock_cos_native,state_rms,state_over_native,state_cos_native,total_rms,total_over_native,total_cos_native,contrast_cos_clock,contrast_cos_state,clock_cos_state,contrast_over_latent,clock_over_latent,state_over_latent,total_over_latent
0,0,1.0,0.025,0.025,0.0013688303297385,1.0008890628814695,5.192347107829676e-10,0.0035580154508352,2.599310874938965,0.1532929241657257,0.00734403450042,5.365189552307129,0.139885663986206,0.0100832618772983,7.366334438323975,-0.1958430707454681,0.0066999192349612,4.8946309089660645,-0.0599997155368328,0.0138159971684217,-0.1132977232336998,-0.7830337882041931,0.003554854961240154,0.007337510991754856,0.010074305186500387,0.006693967876592373
1,0,1.0,0.025,0.025,0.0014159380225464,1.0002342462539673,5.55749224417923e-10,0.0036716915201395,2.593116044998169,0.0908417329192161,0.008636325597763,6.099367141723633,0.1871891617774963,0.0101434318348765,7.163753986358643,-0.2446147501468658,0.0066125700250267,4.670098304748535,-0.0803112164139747,0.1790992617607116,-0.1810760349035263,-0.8281843066215515,0.003670831641578516,0.008634303044619181,0.010141056330419828,0.0066110214180246304
2,0,1.0,0.025,0.025,0.0014433850301429,1.0004056692123413,8.171227028341831e-10,0.0038838391192257,2.6907851696014404,0.1062061935663223,0.0129080144688487,8.942876815795898,0.3530095219612121,0.0157010033726692,10.877903938293455,-0.3585849702358246,0.0085069146007299,5.893724918365479,-0.0777019262313842,-0.0165748186409473,0.0202335268259048,-0.8799104690551758,0.003882264204163896,0.012902780208164641,0.015694636541825294,0.008503465006778428
3,0,1.0,0.025,0.025,0.0014573661610484,0.9992846250534058,5.821549353690614e-10,0.0036348984576761,2.4941558837890625,0.141689583659172,0.009015092626214,6.185880184173584,0.314996987581253,0.0110963704064488,7.613989353179932,-0.3484659790992737,0.0066805779933929,4.584007740020752,-0.0766330808401107,0.1053680405020713,-0.1821796745061874,-0.825678288936615,0.0036375006344982405,0.009021546414498469,0.011104314154594107,0.006685360532827035
0,0,1.0,0.025,0.125,0.0013688303297385,1.0008890628814695,7.594156414825193e-10,0.0035580154508352,2.599310874938965,0.1532929241657257,0.0128851030021905,9.41322135925293,0.1384527832269668,0.00371550838463,2.714367389678955,-0.1478871405124664,0.0116946371272206,8.543525695800781,0.152199774980545,0.1114526838064193,-0.1900810897350311,-0.6362370848655701,0.003554854961240154,0.012873657511148587,0.0037122079982904255,0.011684249095052345
1,0,1.0,0.025,0.125,0.0014159380225464,1.0002342462539673,8.224543268653405e-10,0.0036716915201395,2.593116044998169,0.0908417329192161,0.0143910208716988,10.16359519958496,0.2236537486314773,0.0042240233160555,2.983197927474976,-0.228537231683731,0.0122843580320477,8.675773620605469,0.21057690680027,-0.0262426286935806,-0.0449097044765949,-0.6856070756912231,0.003670831641578516,0.014387650618438042,0.004223034086140445,0.012281481141097228
2,0,1.0,0.025,0.125,0.0014433850301429,1.0004056692123413,9.220526009379171e-10,0.0038838391192257,2.6907851696014404,0.1062061935663223,0.0160143282264471,11.094980239868164,0.286935955286026,0.0043316301889717,3.0010218620300293,-0.2544778287410736,0.013781807385385,9.548254013061523,0.2833641767501831,-0.0261465422809124,-0.0547295957803726,-0.6867257356643677,0.003882264204163896,0.016007834340898735,0.004329873692521317,0.013776218797556354
3,0,1.0,0.025,0.125,0.0014573661610484,0.9992846250534058,9.396555755714076e-10,0.0036348984576761,2.4941558837890625,0.141689583659172,0.0162102337926626,11.122965812683104,0.3111500442028045,0.0049990764819085,3.43021297454834,-0.2877970337867737,0.0138682061806321,9.51593780517578,0.2970912456512451,0.0633697882294654,-0.1267898678779602,-0.6880123615264893,0.0036375006344982405,0.016221838489505692,0.005002655256145194,0.013878134250180151
0,54,0.8720378875732422,0.025,0.025,0.0064034205861389,0.8838574886322021,5.544223413700421e-10,0.0103783048689365,1.6207438707351685,0.3807244300842285,0.0024548196233808,0.3833606839179992,0.1696250885725021,0.0026605941820889,0.4154957830905914,-0.2656184136867523,0.0100588770583271,1.5708599090576172,0.3639541566371918,0.0360291041433811,-0.2051544040441513,-0.7762101888656616,0.011742056838820543,0.0027773930242755676,0.0030102072068272623,0.011380654899347557
1,54,0.8720378875732422,0.025,0.025,0.0061222668737173,0.8825968503952026,4.721204538427061e-10,0.0088020972907543,1.437718629837036,0.3034696280956268,0.0025044337380677,0.409069687128067,0.149930328130722,0.0025469521060585,0.416014552116394,-0.2353321611881256,0.0083678914234042,1.3667962551116943,0.2924607992172241,-0.0204347465187311,-0.2367964833974838,-0.6816677451133728,0.009972953434870022,0.0028375738446679063,0.0028857480115842753,0.009480989445699117
