time,scalar_gate,top32_gate,complement_gate,scalar_holdout_mse,split_holdout_mse,native_spatial_holdout_mse
0.05,1.0,1.0,1.0,0.6493360977941592,0.6493360977941592,0.6493812209085736
0.15,0.9626826933916364,0.8768635981726147,0.9693109782965755,0.6336969129783375,0.6337030734934403,0.6337066974748407
0.3,0.8375194253947685,0.6571339136602173,0.8502547545067256,0.6873747156600652,0.6873699045682977,0.6873783518797089
0.5,0.5378679141974287,0.5181496473332173,0.539228257722052,0.7833491849431451,0.7833489455349476,0.7833485974830492
0.7,0.17810645331743133,0.27199577271262587,0.17334104399747652,0.8319697107927037,0.8319699459562767,0.8319677336788156
0.85,0.031138918750084826,0.021007168239319578,0.031577812868748056,0.903233768755857,0.9032338439484031,0.9032331557222423
0.95,0.0011864431993708249,0.020020316905677186,0.00044455102016663524,0.9985267012461766,0.9985273486999352,0.9985525571271717
