family,metric,contrast,mean,class_cluster_se,samples,classes
raev2,target_prob,ig_erasure,-0.00029168153821956366,0.00047028818243574356,200,100
raev2,target_prob,pfr_erasure,-0.00034524972219514895,0.00035412321312015284,200,100
raev2,target_prob,conditional_pfr_minus_ig,0.016613175548300205,0.006491151154817457,200,100
raev2,target_prob,unconditional_pfr_minus_ig,0.01655960736432462,0.006530555468443709,200,100
raev2,target_prob,erasure_interaction,-5.356818397558527e-05,0.0006131636841873695,200,100
raev2,top1,ig_erasure,-0.005,0.004999999999999999,200,100
raev2,top1,pfr_erasure,0.005,0.004999999999999999,200,100
raev2,top1,conditional_pfr_minus_ig,0.0,0.014213381090374028,200,100
raev2,top1,unconditional_pfr_minus_ig,0.01,0.01585922922197518,200,100
raev2,top1,erasure_interaction,0.01,0.007035264706814484,200,100
raev2,top5,ig_erasure,0.0,0.0,200,100
raev2,top5,pfr_erasure,0.0,0.0,200,100
raev2,top5,conditional_pfr_minus_ig,0.005,0.004999999999999999,200,100
raev2,top5,unconditional_pfr_minus_ig,0.005,0.004999999999999999,200,100
raev2,top5,erasure_interaction,0.0,0.0,200,100
sit,target_prob,ig_erasure,-0.10931567966577858,0.010881859990433675,200,100
sit,target_prob,pfr_erasure,-0.1148037027790997,0.01368422573258794,200,100
sit,target_prob,conditional_pfr_minus_ig,0.008663186686098924,0.01673328554456268,200,100
sit,target_prob,unconditional_pfr_minus_ig,0.0031751635727778195,0.014203376808113875,200,100
sit,target_prob,erasure_interaction,-0.005488023113321106,0.010843582024344609,200,100
sit,top1,ig_erasure,-0.12,0.02474108348721236,200,100
sit,top1,pfr_erasure,-0.175,0.026944574611785965,200,100
sit,top1,conditional_pfr_minus_ig,0.04,0.029881922510596483,200,100
sit,top1,unconditional_pfr_minus_ig,-0.015,0.027938424357067015,200,100
sit,top1,erasure_interaction,-0.055,0.032485427968598934,200,100
sit,top5,ig_erasure,-0.155,0.024303427035226238,200,100
sit,top5,pfr_erasure,-0.15,0.025125945381480295,200,100
sit,top5,conditional_pfr_minus_ig,0.05,0.027979068655483923,200,100
sit,top5,unconditional_pfr_minus_ig,0.055,0.029211005259710387,200,100
sit,top5,erasure_interaction,0.005,0.027974555538484568,200,100
