ambient_swd,condition,intrinsic_swd,off_subspace_rms,seed
0.11228660494089127,D3_oracle_bayes_gate,0.09323421865701675,0.017002973705530167,20260831
0.09790933132171631,D4_gate_on_D0,0.08086255937814713,0.061283186078071594,20260831
0.10301939398050308,scalar,0.08544532209634781,0.03360443562269211,20260831
0.06818234175443649,pca,0.05526749789714813,0.004088597372174263,20260831
0.10245548188686371,random,0.08492229133844376,0.03424995020031929,20260831
0.11871806532144547,D3_oracle_bayes_gate,0.09791470319032669,0.015012670308351517,20260901
0.10575418174266815,D4_gate_on_D0,0.08709001541137695,0.06688864529132843,20260901
0.11437200009822845,scalar,0.09444747120141983,0.02646215632557869,20260901
0.08500149101018906,pca,0.06941942870616913,0.004176136571913958,20260901
0.11404425650835037,random,0.09416870772838593,0.026824435219168663,20260901
0.07828790694475174,D3_oracle_bayes_gate,0.06490426510572433,0.014202022925019264,20260902
0.06988422572612762,D4_gate_on_D0,0.05910278856754303,0.07446715235710144,20260902
0.07743891328573227,scalar,0.0643831416964531,0.02482667565345764,20260902
0.06982648372650146,pca,0.057988833636045456,0.004850111436098814,20260902
0.07763616740703583,random,0.0645194873213768,0.024875294417142868,20260902
