family,arm,samples,fid,independent_fid,inception_score,sampling_seconds,model_forwards_per_sample,noise_sha256,labels_sha256
cfg,closed50,5000,34.62703051253027,34.62703100541637,46.354034423828125,391.3212500368245,100.0,c6ce9bb63631061ace933d0c4250ca291ee3ed9e080939591775e446d2eb1aca,98869254f76150ee11d2faf5030706c64465e795bf5b925aad98850b0f4dbe40
cfg,short,5000,28.960327741289518,28.96032722910462,52.63376998901367,369.55529016582295,100.0,c6ce9bb63631061ace933d0c4250ca291ee3ed9e080939591775e446d2eb1aca,98869254f76150ee11d2faf5030706c64465e795bf5b925aad98850b0f4dbe40
cfg,asynchronous,5000,28.20531413655226,28.205315762201394,54.55513381958008,369.0149611579254,100.0,c6ce9bb63631061ace933d0c4250ca291ee3ed9e080939591775e446d2eb1aca,98869254f76150ee11d2faf5030706c64465e795bf5b925aad98850b0f4dbe40
ig,closed50,5000,41.53351326948882,41.53351434340681,37.70463180541992,246.64822924416512,50.0,c6ce9bb63631061ace933d0c4250ca291ee3ed9e080939591775e446d2eb1aca,98869254f76150ee11d2faf5030706c64465e795bf5b925aad98850b0f4dbe40
ig,short,5000,39.7832577007062,39.78325533002652,37.90985107421875,238.5480667129159,50.0,c6ce9bb63631061ace933d0c4250ca291ee3ed9e080939591775e446d2eb1aca,98869254f76150ee11d2faf5030706c64465e795bf5b925aad98850b0f4dbe40
ig,asynchronous,5000,38.39555961433052,38.39556207635786,39.779727935791016,235.95324920816347,50.0,c6ce9bb63631061ace933d0c4250ca291ee3ed9e080939591775e446d2eb1aca,98869254f76150ee11d2faf5030706c64465e795bf5b925aad98850b0f4dbe40
