ambient_swd,condition,intrinsic_swd,off_subspace_rms,samples,seed
0.1008000299334526,D3_oracle_bayes_gate,0.08300270885229111,0.01697659306228161,4096,20260831
0.08664049953222275,D4_gate_on_D0,0.07113471627235413,0.06125302240252495,4096,20260831
2.7153866291046143,intrinsic_scalar,0.03779468312859535,3.987032890319824,4096,20260831
0.13387735188007355,normal_scalar,0.11095574498176575,0.0032077201176434755,4096,20260831
0.04740946367383003,split_oracle,0.03856301307678223,0.003161004977300763,4096,20260831
0.08525978028774261,D3_oracle_bayes_gate,0.07035680115222931,0.015087406150996685,4096,20260901
0.07393089681863785,D4_gate_on_D0,0.06127143278717995,0.06704652309417725,4096,20260901
2.9166338443756104,intrinsic_scalar,0.03724433109164238,4.22633171081543,4096,20260901
0.10719462484121323,normal_scalar,0.08841618150472641,0.0030746031552553177,4096,20260901
0.04562518373131752,split_oracle,0.03770880401134491,0.0030101025477051735,4096,20260901
0.08942615985870361,D3_oracle_bayes_gate,0.07406429946422577,0.014152951538562775,4096,20260902
0.08017735183238983,D4_gate_on_D0,0.06648622453212738,0.0744154080748558,4096,20260902
2.8319156169891357,intrinsic_scalar,0.04415899142622948,4.122037887573242,4096,20260902
0.10433223098516464,normal_scalar,0.08607693016529083,0.0035002438817173243,4096,20260902
0.05375511944293976,split_oracle,0.0442473478615284,0.0034421354066580534,4096,20260902
0.10073654353618622,random_split_oracle,0.08295375108718872,0.016971692442893982,4096,20260831
0.08517441153526306,random_split_oracle,0.07028219103813171,0.01508300844579935,4096,20260901
0.0893930196762085,random_split_oracle,0.07403648644685745,0.014149513095617294,4096,20260902
