ambient_swd,condition,intrinsic_swd,off_subspace_rms,seed
0.05406727269291878,D4_gate_on_D0,0.04108916595578194,0.06605903059244156,20260831
0.056451696902513504,scalar,0.04356473684310913,0.04847484827041626,20260831
0.04347045719623566,pca,0.030242398381233215,0.054436638951301575,20260831
0.05644255131483078,random,0.04354770854115486,0.04847239702939987,20260831
0.06075158342719078,D4_gate_on_D0,0.04628254845738411,0.05488169193267822,20260901
0.06124721094965935,scalar,0.04689524322748184,0.0478995218873024,20260901
0.054052066057920456,pca,0.03968159109354019,0.05591082200407982,20260901
0.06125623360276222,random,0.04690070077776909,0.0478619746863842,20260901
0.06180242449045181,D4_gate_on_D0,0.04664693400263786,0.06346924602985382,20260902
0.062406815588474274,scalar,0.04716574773192406,0.05701650306582451,20260902
0.054266441613435745,pca,0.03963029384613037,0.06013021245598793,20260902
0.062407236546278,random,0.04716632142663002,0.056999094784259796,20260902
