family,metric,contrast,mean,class_cluster_se,samples,classes
raev2,target_prob,ig_erasure,-0.045228382917994164,0.008987682639470758,200,100
raev2,target_prob,pfr_erasure,-0.042102015409909654,0.008666290811194553,200,100
raev2,target_prob,conditional_pfr_minus_ig,0.030943227323223254,0.00744878660531731,200,100
raev2,target_prob,unconditional_pfr_minus_ig,0.03406959483130777,0.007423938655714974,200,100
raev2,target_prob,erasure_interaction,0.0031263675080845134,0.005451978912797048,200,100
raev2,top1,ig_erasure,-0.055,0.021195339682166553,200,100
raev2,top1,pfr_erasure,-0.085,0.021385117075275333,200,100
raev2,top1,conditional_pfr_minus_ig,0.04,0.016937198318160145,200,100
raev2,top1,unconditional_pfr_minus_ig,0.01,0.01417780310944192,200,100
raev2,top1,erasure_interaction,-0.03,0.021105794120443448,200,100
raev2,top5,ig_erasure,-0.02,0.009847319278346619,200,100
raev2,top5,pfr_erasure,-0.01,0.007035264706814485,200,100
raev2,top5,conditional_pfr_minus_ig,0.005,0.004999999999999999,200,100
raev2,top5,unconditional_pfr_minus_ig,0.015,0.011135075167680681,200,100
raev2,top5,erasure_interaction,0.01,0.009999999999999998,200,100
sit,target_prob,ig_erasure,-0.2660261445038759,0.0231726339698496,200,100
sit,target_prob,pfr_erasure,-0.27435783601427827,0.02363117409407297,200,100
sit,target_prob,conditional_pfr_minus_ig,0.008176612397801365,0.009134136943547635,200,100
sit,target_prob,unconditional_pfr_minus_ig,-0.00015507911260101537,0.00023496255531466962,200,100
sit,target_prob,erasure_interaction,-0.008331691510402379,0.009147814673796223,200,100
sit,top1,ig_erasure,-0.455,0.0376688119528529,200,100
sit,top1,pfr_erasure,-0.475,0.03916747259003202,200,100
sit,top1,conditional_pfr_minus_ig,0.015,0.027019446793939084,200,100
sit,top1,unconditional_pfr_minus_ig,-0.005,0.005,200,100
sit,top1,erasure_interaction,-0.02,0.02745059841852912,200,100
sit,top5,ig_erasure,-0.68,0.0379526552484018,200,100
sit,top5,pfr_erasure,-0.675,0.035798961668820184,200,100
sit,top5,conditional_pfr_minus_ig,-0.015,0.02297890996175195,200,100
sit,top5,unconditional_pfr_minus_ig,-0.01,0.007035264706814484,200,100
sit,top5,erasure_interaction,0.005,0.024094720491334935,200,100
