mode,samples,fid,sfid,inception_score,seconds,mean_nfe,seed
native,5000,71.26554320902551,69.4436989514968,24.536706924438477,164.243265024852,70.688,202609321
scalar,5000,71.22314371618006,69.43151682924099,24.480079650878906,166.66374390991405,67.1264,202609321
pca,5000,71.13226270262072,69.32634792357942,24.37125587463379,169.59465342294425,73.3088,202609321
epsilon,5000,70.51236438237294,69.65493200710398,25.737211227416992,469.5062039238401,306.2912,202609321
x,5000,71.90892199924315,70.26238878284084,24.668272018432617,427.2402596049942,284.144,202609321
