rank,dimension,fit_pca_energy_fraction,fit_random_energy_fraction,holdout_pca_energy_fraction,holdout_random_energy_fraction
8,4096,0.30297407507896423,0.0021636204328387976,0.29889774322509766,0.002169823506847024
32,4096,0.4165913164615631,0.008282673545181751,0.40406131744384766,0.008238185197114944
128,4096,0.5267246961593628,0.03184124082326889,0.4873909652233124,0.03185056149959564
256,4096,0.5954474210739136,0.06358976662158966,0.5222175121307373,0.06372163444757462
