ambient_swd,condition,intrinsic_swd,off_subspace_rms,samples,seed
0.11650369316339493,D0_x_shared,0.09402597695589066,0.0030262297950685024,8192,20260831
0.0653400644659996,D4_gate_on_D0,0.052401959896087646,0.03802171349525452,8192,20260831
0.07117201387882233,scalar,0.05783727020025253,0.02054785192012787,8192,20260831
0.0400545559823513,pca,0.03249836340546608,0.003547071013599634,8192,20260831
0.09252376109361649,projected_x,0.07501387596130371,0.002504583913832903,8192,20260831
0.07158569246530533,projected_scalar,0.05839444324374199,0.0025042786728590727,8192,20260831
0.13175156712532043,D0_x_shared,0.10601217299699783,0.0035576410591602325,8192,20260901
0.076024129986763,D4_gate_on_D0,0.060686640441417694,0.0353383831679821,8192,20260901
0.07536263018846512,scalar,0.06025714799761772,0.028280556201934814,8192,20260901
0.04883131384849548,pca,0.03928505256772041,0.0047406358644366264,8192,20260901
0.11078672111034393,projected_x,0.0891251266002655,0.0025032346602529287,8192,20260901
0.07516512274742126,projected_scalar,0.06041847914457321,0.0025027813389897346,8192,20260901
0.0837220549583435,D0_x_shared,0.0696004182100296,0.00327622820623219,8192,20260902
0.04481182619929314,D4_gate_on_D0,0.03655971959233284,0.030432511121034622,8192,20260902
0.04769326373934746,scalar,0.03938058391213417,0.0181950181722641,8192,20260902
0.02800816111266613,pca,0.022939948365092278,0.004616560880094767,8192,20260902
0.0639357939362526,projected_x,0.053069181740283966,0.0025035692378878593,8192,20260902
0.048071928322315216,projected_scalar,0.039896976202726364,0.0025033745914697647,8192,20260902
