arm,samples,fid,independent_fid,IS,full_forwards_per_sample,prefix4_forwards_per_sample,transformer_blocks_per_sample,sampling_seconds,noise_sha256,labels_sha256
cfg_ordinary,5000,33.37238865717063,33.37238878670797,47.055145263671875,111.3088,0.0,1335.7056,413.07552617089823,c6ce9bb63631061ace933d0c4250ca291ee3ed9e080939591775e446d2eb1aca,98869254f76150ee11d2faf5030706c64465e795bf5b925aad98850b0f4dbe40
ig_ordinary,5000,41.27896600478067,41.27896488370777,37.68833541870117,67.9712,0.0,815.6543999999999,304.6133855408989,c6ce9bb63631061ace933d0c4250ca291ee3ed9e080939591775e446d2eb1aca,98869254f76150ee11d2faf5030706c64465e795bf5b925aad98850b0f4dbe40
ig_pfr,5000,37.786383406769914,37.786383897879716,39.498836517333984,75.584,34.1232,1043.5008,390.27091686520725,c6ce9bb63631061ace933d0c4250ca291ee3ed9e080939591775e446d2eb1aca,98869254f76150ee11d2faf5030706c64465e795bf5b925aad98850b0f4dbe40
ig_pfr_euler42,5000,39.59128862435125,39.59129073625803,39.21944808959961,42.0,21.0,588.0,230.36406257702038,c6ce9bb63631061ace933d0c4250ca291ee3ed9e080939591775e446d2eb1aca,98869254f76150ee11d2faf5030706c64465e795bf5b925aad98850b0f4dbe40
