arm,samples,error_norm2,error_norm2_descriptive_se,difference_norm2,difference_norm2_descriptive_se,error_inner_product,error_inner_product_descriptive_se,unit_correction_risk_delta,unit_correction_risk_delta_descriptive_se,fraction_unit_improves
one,1000,0.4117266327440739,0.003616223168009921,0.005792809729580768,0.00016370356725505582,9.620183884180733e-05,1.8687373258630878e-05,0.005600406049052253,0.00016571694857667822,0.004
ten,1000,0.4117266327440739,0.003616223168009921,0.0024117683485965244,6.147698930754351e-05,9.044890074619616e-05,1.1008879306120516e-05,0.002230870544037316,6.407432191547654e-05,0.015
