interval,nominal_start,nominal_target,actual_forward_from,actual_forward_to,actual_inverse_from,actual_inverse_to,roundtrip_rms,explicit_formula_max_error,aligned_roundtrip_max_error
0,975,975,975,950,950,975,2.2273995980981454e-08,0.0,5.960464477539063e-08
1,975,950,975,950,925,950,0.0038745419587939978,0.0,5.960464477539063e-08
5,975,850,975,950,825,850,0.019599590450525284,0.0,5.960464477539063e-08
10,975,725,975,950,700,725,0.03977014496922493,0.0,5.960464477539063e-08
