model,sample,label,data_time,conditional_energy,unconditional_energy,posterior_difference_energy,raw_revision_energy,conditional_unconditional_cosine,conditional_posterior_cosine,raw_conditional_cosine,raw_posterior_cosine,raw_unconditional_cosine
sit,0,0,0.05,0.006375677067140519,0.004980125331004238,0.0006449918229414131,0.004834853746985238,0.9504057409761022,0.503124671519282,0.8275240091362519,0.34319466879970745,0.812809853155046
sit,1,0,0.05,0.0036001354846628775,0.002860658240580205,0.0014014782376819087,0.00476792230794118,0.7882597578122373,0.4765681781317219,0.7653561399359381,0.09245018588366043,0.7938887716180251
sit,2,0,0.05,0.00198348546754065,0.002517482418502941,0.0008802312724668806,0.004251754358903603,0.8101570274615574,0.13101686771275967,0.7578264193087498,-0.050395932449340326,0.7024680209605837
sit,3,0,0.05,0.0027488987477456255,0.00276565667384773,0.0008671852605106635,0.0038379525088410673,0.842750006670875,0.2754050505429203,0.7166910850044991,0.1934312415478664,0.6062027551082405
sit,0,0,0.1,0.0014988799352164538,0.0011231970208673656,0.00021088444821177647,0.0015004955740685211,0.9291599789065046,0.5216535883350192,0.757246834595687,0.38481354878936885,0.7080261943709755
sit,1,0,0.1,0.0015813673907780078,0.0016387130045762022,0.0006002708352676701,0.0019767025160629206,0.8137141859775675,0.2786249542399637,0.658138052949559,-0.13925393735710356,0.7308009610856678
sit,2,0,0.1,0.0018233923942385147,0.001685331924605901,0.00020932897042989071,0.001726487565533728,0.9410692197939521,0.28114598046444816,0.6254605540687125,0.19052938108205716,0.5834267242309072
sit,3,0,0.1,0.001715372060634734,0.0014525986094522589,0.00033661184979612556,0.0014706737096971485,0.8968358028070975,0.3943957500134341,0.636847002812789,0.2098484114135098,0.5910386358804005
sit,0,0,0.2,0.002073293674242642,0.0021122024514751087,8.238278085946607e-05,0.0011768733183877378,0.9803594420640414,0.05259579291269132,0.42387925034005136,0.2976350239434047,0.3611763099606632
sit,1,0,0.2,0.001504647399916032,0.001853580297227382,0.0001816434212201352,0.001179009565132693,0.9510586818416127,-0.15999684511361603,0.28820101738545356,0.04521950164680001,0.24550561707037746
sit,2,0,0.2,0.0018992541741558694,0.0020972784289187765,0.00014304736164114958,0.0011205172335215564,0.9653929313125411,-0.052737401479392126,0.34671913329361187,0.33414458346986525,0.24267856661511267
sit,3,0,0.2,0.0016429820542268937,0.0018502588795437955,0.00018610074665839898,0.001112680947462579,0.9483965175425302,-0.019148073232995333,0.1732832225737524,0.1968214632701709,0.10086797081869214
sit,4,1,0.05,0.0024613988794761083,0.0020224083593539067,0.0015169891390087909,0.005492811348440524,0.6648681042418081,0.5061183732188198,0.8865228313437713,0.3450193600096814,0.6792036708509259
sit,5,1,0.05,0.00160675858223839,0.0036684633935494316,0.0016844173865090942,0.0038102366434775436,0.7395105375249653,-0.1146679801212148,0.7652839373069467,-0.13808275188583394,0.6000393295459936
sit,6,1,0.05,0.0017754025443919529,0.0030582562146257886,0.001578800294565627,0.0038624621779056517,0.6984201492773363,0.08838353673624018,0.8185757403119036,0.060186635206271544,0.5804481739457106
sit,7,1,0.05,0.0032952811277945733,0.0017949613614084026,0.0018814804549888845,0.005179911970095758,0.6596806218975413,0.6790814408272287,0.8684757477859861,0.5147562033827217,0.6497126770043795
sit,4,1,0.1,0.00267627430282885,0.0021669870233285257,0.0011165073760892458,0.001733085445210426,0.7737617505151689,0.4702616742558336,0.5930641002967053,0.2733335370543794,0.4628825544367607
sit,5,1,0.1,0.0013146668891858056,0.0013356394443215826,0.0008549957838938987,0.0013268689473572924,0.6774185837284813,0.3933311137240224,0.6079455708619155,0.321312868280758,0.3460752859845292
sit,6,1,0.1,0.0012247680636080088,0.0012162058614438097,0.0007535362868575559,0.0013770090604491368,0.6913011247985269,0.3966450992409875,0.6397402886547515,0.2565660844338865,0.4400364282055433
sit,7,1,0.1,0.0013761562309362895,0.0013726139054209855,0.0008326435364583334,0.0015729438693346041,0.697085640167791,0.3905794566723297,0.5738770562379796,0.15001127271845988,0.45778039260308356
sit,4,1,0.2,0.002255304154594932,0.0024227747789871508,0.0005430327474992083,0.0013713834238947642,0.884486659807807,0.16968217402119562,0.3989496756873656,0.29310738337452275,0.24614833949138504
sit,5,1,0.2,0.0024576026899627208,0.002142526261893861,0.0003413076614045397,0.0012324650827587758,0.9279840399657449,0.3583432220050406,0.36126692194083637,0.22520871600372971,0.2970331658546361
sit,6,1,0.2,0.001972284100166923,0.0018283422154841266,0.00046209847558485625,0.001190333145519464,0.8790458464890433,0.31740922685710543,0.2730146104390013,0.4352403194862442,0.0647477444218565
sit,7,1,0.2,0.0021774960356547024,0.0021439948556833286,0.0006477622055471567,0.0013169230955639157,0.8501323207747609,0.28681282280297477,0.2648110952170076,0.31220987527770205,0.09526199911706254
sit,8,2,0.05,0.0014786788999851253,0.002819803331704681,0.0010211109109637612,0.004408488095561551,0.802507880577716,-0.13021617571284255,0.8355764776879229,0.0003006016681552966,0.6049004119393685
sit,9,2,0.05,0.0017221573234646227,0.0027056548032579745,0.0009769471682617896,0.004587044497122968,0.7993286213473112,-0.002524992105765655,0.8053036660510183,0.137409456233125,0.559911617055497
sit,10,2,0.05,0.001769669673618623,0.002147593352963422,0.0009649069820854411,0.004606149295119663,0.7572104611100587,0.224598537202295,0.8679834851510269,0.026945999615047476,0.7698571425629941
sit,11,2,0.05,0.0015326793866886497,0.0035953896967964973,0.0012956215155170967,0.004006990227121592,0.8162958399536535,-0.2721766780029753,0.7865823197866398,-0.1531041008366745,0.6054746125746124
sit,8,2,0.1,0.001348436982479604,0.0023288628955415577,0.0005394206345119068,0.0014866885691412826,0.8853580541815927,-0.25854413301001183,0.5223979526504848,0.02314937069675398,0.38636587233998093
sit,9,2,0.1,0.001038158605860803,0.0019581458848692544,0.000801452047739393,0.0012414865866780915,0.7696990605174534,-0.06497508085898993,0.47365925056738134,-0.04451436429463802,0.3733642885789571
sit,10,2,0.1,0.0012262932995385856,0.0013038847074501219,0.0006726562528598583,0.0012802447115808798,0.7344921177873034,0.3275974619995414,0.5942423635369672,0.19044761521183554,0.439500714354943
sit,11,2,0.1,0.0014587387787535233,0.0013066560713197676,0.0006646618575671601,0.0014742606514487363,0.7608016591687841,0.4147315881634912,0.6155187374987721,0.3245374913343989,0.41888875794983826
sit,8,2,0.2,0.0018940838698472775,0.002428574616532137,0.00035295014686828336,0.0010550852752473348,0.9254506727342673,-0.1110164879339217,0.13963460757847931,0.30448475492378824,0.0072382051849265
sit,9,2,0.2,0.0017552663258703243,0.001740634084844221,0.0003086165474909233,0.0011581189344006648,0.9117284269632152,0.2195966928959567,0.23912491242907594,0.09972037480788375,0.19813847408436908
sit,10,2,0.2,0.0019497825320362843,0.001984586834671857,0.0003173971292711042,0.0009067854796299566,0.9193630376038743,0.17961249782621422,0.1031142703646998,0.20753963271347392,0.019208124663564252
sit,11,2,0.2,0.0019234584299648496,0.0017318095699922448,0.00023976848468065928,0.0013267069529904097,0.935691668299026,0.31763631874123915,0.26757471432817664,0.2796105411888886,0.17795194845615286
sit,12,3,0.05,0.0028202677738003263,0.0030084125039388575,0.002065936337656559,0.006347894375028688,0.6458933368774642,0.38896789653167335,0.8448503333858391,0.5203141809847964,0.3868287158472694
sit,13,3,0.05,0.0016174792967113905,0.005368392654187197,0.005679143102360542,0.0052256515316574294,0.22172465159408447,0.3181031804288958,0.790947098553154,0.4113957242130342,0.011019768180472705
sit,14,3,0.05,0.0017534874274617808,0.0033382472903228707,0.0011657346937942066,0.004511208807665682,0.8113527665869061,-0.14654092333075963,0.8010514580032139,-0.0317682382628497,0.5993401956658397
sit,15,3,0.05,0.0020287972552832925,0.002955650280840056,0.0015554718861211978,0.004097958353487788,0.7001459133106678,0.17693225119640452,0.7176102889418009,0.3481387226327456,0.34198498427640106
sit,12,3,0.1,0.0014892865227900138,0.0036210787455553395,0.0016109496067573652,0.0014120872603843463,0.7534551768903479,-0.16813046310883434,0.4301781730086029,0.017320697128909542,0.2643261163706488
sit,13,3,0.1,0.0017392300021201621,0.004103625068088781,0.0014128536051152027,0.0015893074675871859,0.829108806080771,-0.30350834001665616,0.5468519989554713,-0.10458013788066255,0.4173759097038226
