model,data_time,raw_posterior_positive_fraction,conditional_energy,unconditional_energy,posterior_difference_energy,conditional_unconditional_cosine,raw_conditional_cosine,raw_posterior_cosine,raw_unconditional_cosine
sit,0.05,0.7395833333333334,0.0035537470070393534,0.0032135442252130227,0.0014481767019713656,0.8081403661598158,0.7766185995237862,0.16913598550136788,0.6799057427875489
sit,0.1,0.875,0.0022188504601913196,0.002000252765318223,0.0006447978458743707,0.8553190961704152,0.6516071123446239,0.1802181849379744,0.5811990702841154
sit,0.2,0.84375,0.0022582032708044373,0.002110742235935126,0.0003857538891204909,0.9165505645279352,0.3289143946898147,0.14599091633469286,0.28479288355272386
raev2,0.05,0.9270833333333334,0.037753421979479014,0.036737425401703404,0.035082826624033864,0.5362397706591748,0.6196654129364203,0.19677260458543455,0.43359712654442345
raev2,0.1,0.9479166666666666,0.026217169205109244,0.02638366535985442,0.020235643988220395,0.6142237069820653,0.4583278961092332,0.07594519123006183,0.3884041354701064
raev2,0.2,0.8541666666666666,0.01601807478962052,0.01656486934851398,0.008459340121974324,0.7420831965844839,0.353707725261691,0.02991797032357892,0.3262851917958513
