target_variance,h,arm,log_std_shift,w2_squared
0.25,0.03125,raw,0.0014668379806006208,5.38693108044125e-07
0.25,0.03125,compensated,-8.380744623257344e-05,1.755774858860916e-09
0.25,0.03125,exact_clock,1.5612511283791264e-17,6.093762714662738e-35
0.25,0.015625,raw,0.0007552822387882508,1.4272057545515137e-07
0.25,0.015625,compensated,-2.004047462834588e-05,1.004031436888883e-10
0.25,0.015625,exact_clock,3.0018847650692404e-17,2.252828035688702e-34
0.25,0.0078125,raw,0.00038276119970234615,3.664055634617656e-08
0.25,0.0078125,compensated,-4.900157005952236e-06,6.002855255752402e-12
0.25,0.0078125,exact_clock,1.1214716221646936e-17,3.1442464983017735e-35
1.0,0.03125,raw,-0.005719518468983532,3.2526412247094216e-05
1.0,0.03125,compensated,-0.0003375076124077,1.1387295004053464e-07
1.0,0.03125,exact_clock,-5.204170427930421e-18,2.7083389842945504e-35
1.0,0.015625,raw,-0.0027751146521559,7.679924005503071e-06
1.0,0.015625,compensated,-8.410922386798379e-05,7.073766549808942e-09
1.0,0.015625,exact_clock,-1.3010426069826053e-17,1.692711865184094e-34
1.0,0.0078125,raw,-0.001366488661029642,1.864741661150414e-06
1.0,0.0078125,compensated,-2.0985946885684203e-05,4.4040072438173246e-10
1.0,0.0078125,exact_clock,-8.077306185017008e-18,6.524287520651401e-35
4.0,0.03125,raw,-0.014080370887476788,0.0007819524204304653
4.0,0.03125,compensated,0.0003180996285837485,4.0487826937843487e-07
4.0,0.03125,exact_clock,-4.336808689942018e-18,7.52316384526264e-35
4.0,0.015625,raw,-0.007125167452611973,0.00020163111817899276
4.0,0.015625,compensated,7.406780541829665e-05,2.1945784623871868e-08
4.0,0.015625,exact_clock,8.673617379884035e-19,3.009265538105056e-36
4.0,0.0078125,raw,-0.0035818075790468654,5.113395660444702e-05
4.0,0.0078125,compensated,1.7810049968269154e-05,1.2688141169641068e-09
4.0,0.0078125,exact_clock,-1.1275702593849246e-17,5.085658759397545e-34
16.0,0.03125,raw,-0.00946918226152045,0.0014211364084675544
16.0,0.03125,compensated,0.0018933627678631194,5.746587908465803e-05
16.0,0.03125,exact_clock,-1.0408340855860843e-17,1.7333369499485123e-33
16.0,0.015625,raw,-0.005192017128620132,0.0004290800543541383
16.0,0.015625,compensated,0.000489255386071653,3.83180767520659e-06
16.0,0.015625,exact_clock,-5.204170427930421e-18,4.333342374871281e-34
16.0,0.0078125,raw,-0.002716334994219432,0.00011773544175426018
16.0,0.0078125,compensated,0.00012430126312646013,2.47243595336862e-07
16.0,0.0078125,exact_clock,-1.3877787807814457e-17,3.0814879110195774e-33
