model,quartet,label,data_time,residual_energy,pair_difference_energy,certificate_energy
sit,0,0,0.05,0.00028087042495228686,0.002696267263972758,0.002295459494686203
sit,0,0,0.1,0.0002277029834715328,0.0021275954597691125,0.0025907010063567354
sit,0,0,0.2,0.00024938117220931405,0.0031456869224196675,0.0019015056961276997
sit,1,1,0.05,6.728459212104179e-05,0.0044306430472975155,0.002093537277932258
sit,1,1,0.1,5.888833051334722e-05,0.0025456224375321147,0.0013718798497379448
sit,1,1,0.2,0.00011030353248205556,0.004186146102903594,0.0023343233751607793
sit,2,2,0.05,6.892319922043558e-05,0.0030784724615719647,0.0015354380784705372
sit,2,2,0.1,8.602311930987783e-05,0.0024400783124128096,0.0012363707659278338
sit,2,2,0.2,0.0002611202585590518,0.0036329322413372984,0.0018534685137887755
sit,3,3,0.05,3.78544216693747e-05,0.0022603020923317434,0.0015933400448912807
sit,3,3,0.1,5.7327460928643996e-05,0.0018671155554066238,0.0011094255158748787
sit,3,3,0.2,0.00037210610248000216,0.0031622018214316704,0.0016937018157842912
sit,4,4,0.05,0.0005928644304794366,0.005186854476885496,0.00841443378421837
sit,4,4,0.1,0.0004672199072117135,0.004348435753195313,0.004510393772863493
sit,4,4,0.2,0.00033181839465993483,0.0041437941344611064,0.0023061543348047745
sit,5,5,0.05,0.0001544023062716198,0.0029881515718433757,0.00454391136291727
sit,5,5,0.1,0.00015984359508821352,0.0035034979328719567,0.002707769057670662
sit,5,5,0.2,0.00027166574340319727,0.0033973290086930317,0.002049310472933022
sit,6,6,0.05,0.0006134609473168272,0.0055971507765394815,0.003325568851195876
sit,6,6,0.1,0.00015984394581710067,0.002526414034580562,0.0017994659516458401
sit,6,6,0.2,0.00036014986398170306,0.004673080171469822,0.002133272865973701
sit,7,7,0.05,0.0002542689134406102,0.003027605939274494,0.002317291228060905
sit,7,7,0.1,0.0001794737187971372,0.003240162520906654,0.0016964164890275167
sit,7,7,0.2,0.00018025455161950035,0.004293851782317146,0.00212974280252997
sit,8,8,0.05,0.00014212298929146445,0.0030042534136436837,0.0016570239509900407
sit,8,8,0.1,8.721143768712366e-05,0.0024200794001536076,0.0015545931031149159
sit,8,8,0.2,0.0001057137635380328,0.0038343949821483363,0.0020701763561517704
sit,9,9,0.05,0.0004597938282203493,0.0068434049858557,0.003376587289172106
sit,9,9,0.1,0.00030832773535730343,0.0030254543283169447,0.0019396342506052709
sit,9,9,0.2,0.0005841331503450243,0.004991092340441325,0.0026878457725068323
sit,10,10,0.05,0.00027726959176931467,0.0050055749505990375,0.00458052258661995
sit,10,10,0.1,0.00023088256396468812,0.002828548838025753,0.002051767123376031
sit,10,10,0.2,0.00045456995493453953,0.0035280954137329647,0.0020540489811713926
sit,11,11,0.05,0.00023986297743213027,0.005959520089925497,0.004863592444429672
sit,11,11,0.1,0.0004485664644638917,0.0030430840929745605,0.0019182769073172344
sit,11,11,0.2,0.0004617847000944727,0.005145275154021531,0.0024578033347472453
sit,12,12,0.05,3.430204955325927e-05,0.0037445058403193883,0.003076715977590287
sit,12,12,0.1,5.04024810952813e-05,0.002546156649978072,0.001662798988088573
sit,12,12,0.2,0.0004034938354895953,0.0039031674881736004,0.002304613470679456
sit,13,13,0.05,0.0002035672852877834,0.005146106934281535,0.001982823553874316
sit,13,13,0.1,0.00011990640720775288,0.0025374082520137516,0.001769666718979934
sit,13,13,0.2,0.0004397535726524502,0.004366358962690654,0.0023157073853270595
sit,14,14,0.05,0.0006113080664986311,0.010809486041176852,0.004499735949049882
sit,14,14,0.1,0.00034420190993118046,0.0037482445995526545,0.0019955099456664795
sit,14,14,0.2,0.0004439122344403971,0.004746210641078377,0.0023778073397023166
sit,15,15,0.05,0.0010226909678105328,0.005889570043226582,0.0054375432980547506
sit,15,15,0.1,0.00039563397966579125,0.003963551310721618,0.0026197950547249644
sit,15,15,0.2,0.0005708611144536629,0.0047134134462332436,0.0026276001227049047
sit,16,16,0.05,0.0005249027232615915,0.005222521992759863,0.003762059980705017
sit,16,16,0.1,0.00031796212611538883,0.003341176257590695,0.00224910594796433
sit,16,16,0.2,0.0005379494379054143,0.004781768983166384,0.0024967130294218064
sit,17,17,0.05,0.001068646234773251,0.0033479560052691766,0.00329923502222829
sit,17,17,0.1,0.0007019932847751359,0.002547440079635481,0.0021316279632756403
sit,17,17,0.2,0.0009768670310820226,0.0049308203717864495,0.0026829883260845065
sit,18,18,0.05,0.004216411225124181,0.005704112881519453,0.01065120040081302
sit,18,18,0.1,0.0005052839910679589,0.009160790761705133,0.00512570738011771
sit,18,18,0.2,0.0003831928857125484,0.00511604092238903,0.0024617771150521103
sit,19,19,0.05,0.0001609806670346483,0.0030500119648220105,0.0024408671855701766
sit,19,19,0.1,0.00019813821105606964,0.003119008954991574,0.0016937522889373482
sit,19,19,0.2,0.0003604794567146136,0.003980412847889475,0.0022774027901027293
sit,20,20,0.05,0.0003980572523476247,0.005642480724962092,0.0043072177600697314
sit,20,20,0.1,0.0004364179726542111,0.0022214479548004996,0.0018160167165637198
sit,20,20,0.2,0.0008845670635141819,0.0045091738066104165,0.002460877516467592
sit,21,21,0.05,0.0001771259938669252,0.004463481973163062,0.001969659933895817
sit,21,21,0.1,0.00021592813493176926,0.002477951709813565,0.0016993455569571663
sit,21,21,0.2,0.00031951251007802527,0.004080499120557059,0.002077057049681561
sit,22,22,0.05,0.00019415263032305062,0.004444715687518268,0.0017354021141559868
sit,22,22,0.1,0.0004628794825467253,0.0032378815841823706,0.001831274242926372
sit,22,22,0.2,0.0006700811445737487,0.004728064425014589,0.002336163046062151
sit,23,23,0.05,0.0003477370968906908,0.008477782246546616,0.003525815425315084
sit,23,23,0.1,0.00017230995044693165,0.0033535115843022793,0.0023963002893530225
sit,23,23,0.2,0.0002893680031665664,0.00547693733349878,0.0026315090286427984
