class_mean,iterations,arm,total_scalar_budget,w2_squared,decoded_mean,decoded_std
0.5,1,recomputed_displacement,1.0,2.686139068182661e-31,0.49999999999999994,0.999919563665
0.5,1,frozen_displacement,1.0,2.686139068182661e-31,0.49999999999999994,0.999919563665
0.5,2,recomputed_displacement,1.0,0.00019674728641477308,0.4866126973753224,1.0038865682858635
0.5,2,frozen_displacement,1.0,2.7638683970319146e-31,0.5,0.999919563665
0.5,4,recomputed_displacement,1.0,0.00042636247365581114,0.48029538337505256,1.005786226316062
0.5,4,frozen_displacement,1.0,3.051952910158557e-31,0.5000000000000001,0.999919563665
0.5,8,recomputed_displacement,1.0,0.0005697358831181583,0.47722356276120753,1.0067159561271986
0.5,8,frozen_displacement,1.0,3.9217726503884974e-31,0.5000000000000001,0.9999195636649999
0.5,16,recomputed_displacement,1.0,0.0006480945497797312,0.47570854097171417,1.007175903647035
0.5,16,frozen_displacement,1.0,7.6867898377106605e-31,0.5000000000000001,0.9999195636649999
0.5,64,recomputed_displacement,1.0,0.0007096790115882405,0.47458123023832016,1.007518737940741
0.5,64,frozen_displacement,1.0,8.44082169167274e-30,0.5,0.999919563665
0.5,256,recomputed_displacement,1.0,0.0007254452499032295,0.47430058960174404,1.0076041634587205
0.5,256,frozen_displacement,1.0,1.3460851717492125e-28,0.5000000000000003,0.9999195636649997
2.0,1,recomputed_displacement,1.0,1.417183512515195e-30,2.0,0.9999195636649998
2.0,1,frozen_displacement,1.0,1.417183512515195e-30,2.0,0.9999195636649998
2.0,2,recomputed_displacement,1.0,0.33433204035277575,1.6742653145113309,1.4128845279097157
2.0,2,frozen_displacement,1.0,1.4207464829123115e-30,2.0,0.9999195636649998
2.0,4,recomputed_displacement,1.0,0.5208629838145074,1.5740956928664689,1.515430405192333
2.0,4,frozen_displacement,1.0,1.4872572698355094e-30,2.0,0.9999195636649998
2.0,8,recomputed_displacement,1.0,0.6074081571964857,1.5319547853484226,1.5556639733146989
2.0,8,frozen_displacement,1.0,1.8170637450152092e-30,2.0,0.9999195636649998
2.0,16,recomputed_displacement,1.0,0.6490251560963944,1.5124202996116156,1.573773918350475
2.0,16,frozen_displacement,1.0,2.6742063899285938e-30,2.0,0.9999195636649998
2.0,64,recomputed_displacement,1.0,0.679536751535203,1.4983651680677832,1.5865992924635528
2.0,64,frozen_displacement,1.0,1.892110464100519e-29,2.0,0.9999195636649998
2.0,256,recomputed_displacement,1.0,0.6870725904147701,1.4949266101527658,1.5897113068030873
2.0,256,frozen_displacement,1.0,2.6967291325242473e-28,2.0000000000000004,0.999919563664999
4.0,1,recomputed_displacement,1.0,4.352622498432677e-28,4.000000000000001,0.999919563664998
4.0,1,frozen_displacement,1.0,4.352622498432677e-28,4.000000000000001,0.999919563664998
4.0,2,recomputed_displacement,1.0,4.235382556744378,3.085997223259369,2.64608296728533
4.0,2,frozen_displacement,1.0,4.35272938754459e-28,4.000000000000001,0.999919563664998
4.0,4,recomputed_displacement,1.0,5.510388411424212,2.870520912176966,2.8732656190467982
4.0,4,frozen_displacement,1.0,4.332723790247268e-28,4.000000000000001,0.9999195636649977
4.0,8,recomputed_displacement,1.0,6.047021956828489,2.782854426240142,2.9571480135597406
4.0,8,frozen_displacement,1.0,4.491066046555009e-28,4.000000000000001,0.9999195636649986
4.0,16,recomputed_displacement,1.0,6.2959546924212,2.7427165297977307,2.994082789177138
4.0,16,frozen_displacement,1.0,1.27283958310021e-27,4.0,0.999919563665
4.0,64,recomputed_displacement,1.0,6.47514916655556,2.7140185029730435,3.019950059633196
4.0,64,frozen_displacement,1.0,1.9224826254814268e-26,4.000000000000003,0.999919563664993
4.0,256,recomputed_displacement,1.0,6.519005817532987,2.7070195719829235,3.0261922469659193
4.0,256,frozen_displacement,1.0,9.043297067860636e-26,4.0000000000000036,0.9999195636649876
