ambient_swd,condition,intrinsic_swd,off_subspace_rms,seed
0.19477584958076477,D0_x_shared,0.16311506927013397,0.0032455935142934322,20260831
0.09790933132171631,D4_gate_on_D0,0.08086255937814713,0.061283186078071594,20260831
0.10301939398050308,scalar,0.08544532209634781,0.03360443562269211,20260831
0.06818234175443649,pca,0.05526749789714813,0.004088597372174263,20260831
0.14641936123371124,projected_x,0.12219617515802383,0.0025016397703438997,20260831
0.10352299362421036,projected_scalar,0.0858558639883995,0.0025011864490807056,20260831
0.16365452110767365,D0_x_shared,0.1347104161977768,0.003123784437775612,20260901
0.10575418174266815,D4_gate_on_D0,0.08709001541137695,0.06688864529132843,20260901
0.11437200009822845,scalar,0.09444747120141983,0.02646215632557869,20260901
0.08500149101018906,pca,0.06941942870616913,0.004176136571913958,20260901
0.1387750655412674,projected_x,0.11430986225605011,0.0024967750068753958,20260901
0.11450069397687912,projected_scalar,0.09434061497449875,0.0024966136552393436,20260901
0.1046990156173706,D0_x_shared,0.08603068441152573,0.00353217963129282,20260902
0.06988422572612762,D4_gate_on_D0,0.05910278856754303,0.07446715235710144,20260902
0.07743891328573227,scalar,0.0643831416964531,0.02482667565345764,20260902
0.06982648372650146,pca,0.057988833636045456,0.004850111436098814,20260902
0.09064775705337524,projected_x,0.07488587498664856,0.0024969852529466152,20260902
0.07783263921737671,projected_scalar,0.0644623264670372,0.002496895380318165,20260902
