left,right,samples,error_alignment_mean,descriptive_paired_se,positive_fraction
data,original,1000,5.493947770446121e-06,2.2028401815456325e-05,0.496
teacher,original,1000,0.00010169560206122719,9.997379678769078e-06,0.625
teacher,data,1000,9.620165429078097e-05,1.8687323459174642e-05,0.598
