ambient_swd,condition,intrinsic_swd,off_subspace_rms,seed
0.05830264091491699,D3_oracle_bayes_gate,0.04616113379597664,0.011473434045910835,20260831
0.05126914754509926,D4_gate_on_D0,0.039752550423145294,0.037940215319395065,20260831
0.05492676794528961,scalar,0.043372027575969696,0.020446401089429855,20260831
0.04202353581786156,pca,0.03385544195771217,0.0035425114911049604,20260831
0.054845791310071945,random,0.04329999163746834,0.02045908011496067,20260831
0.08947788923978806,D3_oracle_bayes_gate,0.07172691822052002,0.015221118927001953,20260901
0.08348865061998367,D4_gate_on_D0,0.06666236370801926,0.03542744368314743,20260901
0.08275455981492996,scalar,0.06621086597442627,0.02834254875779152,20260901
0.0547395721077919,pca,0.04438871517777443,0.004758425988256931,20260901
0.08275728672742844,random,0.06622383743524551,0.02811475843191147,20260901
0.0488256998360157,D3_oracle_bayes_gate,0.0402444563806057,0.010904081165790558,20260902
0.04517032206058502,D4_gate_on_D0,0.03664347156882286,0.03043494187295437,20260902
0.047949038445949554,scalar,0.039362866431474686,0.01818092353641987,20260902
0.031483884900808334,pca,0.0256781168282032,0.004625536501407623,20260902
0.047967810183763504,random,0.039381787180900574,0.018098626285791397,20260902
