family,arm,samples,fid,fid_mean,fid_covariance,IS,sampling_seconds,model_forwards_per_sample,noise_sha256,labels_sha256
cfg,closed40,1000,62.051079197116906,6.091554641723633,55.95952455539327,43.24104690551758,61.691855230834335,80.0,8eb04ffae61ba07d513613e60c7add0f26b8400a675ea668ef7f5e7da69a5b17,88fa0b03248df38a33fa9c7ad98f66a44a0938c108d978c2d40fb81106a4a86e
cfg,closed50,1000,61.46352940493682,5.878274440765381,55.58525496417144,43.33795928955078,73.34720573900267,100.0,8eb04ffae61ba07d513613e60c7add0f26b8400a675ea668ef7f5e7da69a5b17,88fa0b03248df38a33fa9c7ad98f66a44a0938c108d978c2d40fb81106a4a86e
cfg,long,1000,57.316520188198865,2.4813036918640137,54.83521649633485,54.559722900390625,72.52813770715147,100.0,8eb04ffae61ba07d513613e60c7add0f26b8400a675ea668ef7f5e7da69a5b17,88fa0b03248df38a33fa9c7ad98f66a44a0938c108d978c2d40fb81106a4a86e
cfg,short,1000,55.53011337784824,3.0938587188720703,52.43625465897617,48.40620040893555,75.61032385705039,100.0,8eb04ffae61ba07d513613e60c7add0f26b8400a675ea668ef7f5e7da69a5b17,88fa0b03248df38a33fa9c7ad98f66a44a0938c108d978c2d40fb81106a4a86e
cfg,asynchronous,1000,53.40356769705994,2.444485664367676,50.959082032692265,49.83310317993164,74.79604279855266,100.0,8eb04ffae61ba07d513613e60c7add0f26b8400a675ea668ef7f5e7da69a5b17,88fa0b03248df38a33fa9c7ad98f66a44a0938c108d978c2d40fb81106a4a86e
ig,closed40,1000,69.22380458315052,9.235952377319336,59.98785220583119,33.22027587890625,40.80346585530788,40.0,8eb04ffae61ba07d513613e60c7add0f26b8400a675ea668ef7f5e7da69a5b17,88fa0b03248df38a33fa9c7ad98f66a44a0938c108d978c2d40fb81106a4a86e
ig,closed50,1000,69.14785390059012,9.323532104492188,59.824321796097934,33.05434799194336,47.98172002239153,50.0,8eb04ffae61ba07d513613e60c7add0f26b8400a675ea668ef7f5e7da69a5b17,88fa0b03248df38a33fa9c7ad98f66a44a0938c108d978c2d40fb81106a4a86e
ig,long,1000,122.30394027190721,20.294979095458984,102.00896117644822,20.428081512451172,48.320197368972,50.0,8eb04ffae61ba07d513613e60c7add0f26b8400a675ea668ef7f5e7da69a5b17,88fa0b03248df38a33fa9c7ad98f66a44a0938c108d978c2d40fb81106a4a86e
ig,short,1000,66.05525446724596,7.457119941711426,58.59813452553453,35.57634735107422,48.042254199273884,50.0,8eb04ffae61ba07d513613e60c7add0f26b8400a675ea668ef7f5e7da69a5b17,88fa0b03248df38a33fa9c7ad98f66a44a0938c108d978c2d40fb81106a4a86e
ig,asynchronous,1000,64.61546525350883,6.239440441131592,58.37602481237724,39.003211975097656,48.677762762177736,50.0,8eb04ffae61ba07d513613e60c7add0f26b8400a675ea668ef7f5e7da69a5b17,88fa0b03248df38a33fa9c7ad98f66a44a0938c108d978c2d40fb81106a4a86e
