model,arm,samples,sampling_seconds,full_forwards_per_sample,prefix_forwards_per_sample,noise_sha256,label_sha256,fid,independent_fid,sfid,independent_sfid,inception_score
v,time_only,5000,531.3979166117497,125,50,49364892d3bda5a719bcc71a878f8fca0bd88fe73b4ceedef386145eb91cea8d,d7039ac80d8e120ca704fcd8f6741fadc013663da9e6ae020fa60d2e12b313b8,41.51022914624127,41.510232740803644,71.7106465126983,71.71064591035088,35.19125747680664
v,ou,5000,566.9496150529012,125,50,49364892d3bda5a719bcc71a878f8fca0bd88fe73b4ceedef386145eb91cea8d,d7039ac80d8e120ca704fcd8f6741fadc013663da9e6ae020fa60d2e12b313b8,39.84274023853635,39.842738390049306,71.1911075844622,71.19110730207069,36.343711853027344
x,time_only,5000,532.2602067571133,125,50,49364892d3bda5a719bcc71a878f8fca0bd88fe73b4ceedef386145eb91cea8d,d7039ac80d8e120ca704fcd8f6741fadc013663da9e6ae020fa60d2e12b313b8,40.556181450248914,40.55617987241692,70.09934806104161,70.0993476163103,37.43869400024414
x,ou,5000,528.4939283179119,125,50,49364892d3bda5a719bcc71a878f8fca0bd88fe73b4ceedef386145eb91cea8d,d7039ac80d8e120ca704fcd8f6741fadc013663da9e6ae020fa60d2e12b313b8,39.57955523275564,39.57955620530555,69.2432889310013,69.24329063732284,37.80857467651367
