model,quartet,label,data_time,residual_energy,pair_difference_energy,certificate_energy
raev2,0,0,0.05,0.05188978683786822,0.05236650684522959,0.044917208179273235
raev2,0,0,0.1,0.055284458693249564,0.04429993682986595,0.028594120504925383
raev2,0,0,0.2,0.026747879472796447,0.03295995696417536,0.016451154087101252
raev2,1,1,0.05,0.04267363269983564,0.06427591775976599,0.027471548366158224
raev2,1,1,0.1,0.04646745923359783,0.044622260904724896,0.024224450882572877
raev2,1,1,0.2,0.025378757073000052,0.030057337040889247,0.016137998508327783
raev2,2,2,0.05,0.0301431765124694,0.05010013973508885,0.029969052138314748
raev2,2,2,0.1,0.03789556757524038,0.04273439793693044,0.025584037095983336
raev2,2,2,0.2,0.022691678826172894,0.025107789475513023,0.015320630566917813
raev2,3,3,0.05,0.04021344870435063,0.04318133195991432,0.036687267870808477
raev2,3,3,0.1,0.03524346864455362,0.05344789108771354,0.024014312203406878
raev2,3,3,0.2,0.022771730736198953,0.0304744101682147,0.015364406656691327
raev2,4,4,0.05,0.04571360287815155,0.07705902142926818,0.039002760262622026
raev2,4,4,0.1,0.046012968056907924,0.05171092994909099,0.026923234398881293
raev2,4,4,0.2,0.0272704194709475,0.02923349855538282,0.016861414450083538
raev2,5,5,0.05,0.04961268206198652,0.0682803074139744,0.04018001827179571
raev2,5,5,0.1,0.036272207446467995,0.035596613034136595,0.020782158127553033
raev2,5,5,0.2,0.021192343195912195,0.026127955058383154,0.01484227517618892
raev2,6,6,0.05,0.08144623065909523,0.056679874221642564,0.04364819234341165
raev2,6,6,0.1,0.0449483092084833,0.06765613525970507,0.03151857878222029
raev2,6,6,0.2,0.021529281496789475,0.026731243655906577,0.014893527572641153
raev2,7,7,0.05,0.03309967739486187,0.04566095415719698,0.0291731055895402
raev2,7,7,0.1,0.042943989045695505,0.049221170162591636,0.02482914653251177
raev2,7,7,0.2,0.024229051009975643,0.032233214068101014,0.01632073242306121
raev2,8,8,0.05,0.0858762157932732,0.0630956064393804,0.04439104339066705
raev2,8,8,0.1,0.054054609747666744,0.05666303100393748,0.029411261464875833
raev2,8,8,0.2,0.026580704996368457,0.031643896748338535,0.01607369273736834
raev2,9,9,0.05,0.06887636542696582,0.06396538547881947,0.04847999036977567
raev2,9,9,0.1,0.05731625100029823,0.05429446952209514,0.027346836329289456
raev2,9,9,0.2,0.0274894012692332,0.03129251801180225,0.017091196759158784
raev2,10,10,0.05,0.049122215985019126,0.05524527209000724,0.036165193981397184
raev2,10,10,0.1,0.054495936511848295,0.05399927743678771,0.02776290512702092
raev2,10,10,0.2,0.02443909423501559,0.030987740581014462,0.016618802371790874
raev2,11,11,0.05,0.050319303992139665,0.06606262258837733,0.03655712247038066
raev2,11,11,0.1,0.04417742721170871,0.05826061281487244,0.027809840694942675
raev2,11,11,0.2,0.02220447095435576,0.028490901420930637,0.015164780175187869
raev2,12,12,0.05,0.041075080975834524,0.05387244387469313,0.030864378648688386
raev2,12,12,0.1,0.0596233461966235,0.050662109760598706,0.027743233017361237
raev2,12,12,0.2,0.02149945478598099,0.025421821177108166,0.014595330467791712
raev2,13,13,0.05,0.06118748499194783,0.06328122983829552,0.04324940961402406
raev2,13,13,0.1,0.04828705526146938,0.059631744957049246,0.034889559880803334
raev2,13,13,0.2,0.022394849514495004,0.026815553533427076,0.01485819483420558
raev2,14,14,0.05,0.04589743080988154,0.07621477437562212,0.04100533179536517
raev2,14,14,0.1,0.029573419556395964,0.040836868967875875,0.020433801506555396
raev2,14,14,0.2,0.020523440162348628,0.02822942079754666,0.014705119958555463
raev2,15,15,0.05,0.03619058047085221,0.06587734299520583,0.03345699509411022
raev2,15,15,0.1,0.037475091712841586,0.04116537402394124,0.024032076670215254
raev2,15,15,0.2,0.026316328489634826,0.03123001199378666,0.015550053981153049
raev2,16,16,0.05,0.040022793827768244,0.08183657830320111,0.043742012442103885
raev2,16,16,0.1,0.03141339954352525,0.03982703419953083,0.020484688832199907
raev2,16,16,0.2,0.023005451362550503,0.026719428583892132,0.015292529967150486
raev2,17,17,0.05,0.04708516727921884,0.08314673117154528,0.05548467068636861
raev2,17,17,0.1,0.03861914071762665,0.03793621051058585,0.02325713922154868
raev2,17,17,0.2,0.02481858656729171,0.02968766661270073,0.016927863888983444
raev2,18,18,0.05,0.05478004468650222,0.045569876371708,0.03750636136647094
raev2,18,18,0.1,0.040471646717255824,0.04435662548268832,0.024907024726902517
raev2,18,18,0.2,0.018428719076968095,0.024331442641290772,0.013766353825463862
raev2,19,19,0.05,0.05940424310476902,0.08473115074698459,0.04955917602148517
raev2,19,19,0.1,0.03614993364526252,0.045068393066911946,0.024816233399596162
raev2,19,19,0.2,0.021488710313412485,0.02703824052070698,0.015960712437415064
raev2,20,20,0.05,0.04573105012194065,0.053720613731513926,0.03469758317860879
raev2,20,20,0.1,0.036471530962059455,0.048832566674779754,0.025496626468489804
raev2,20,20,0.2,0.02558371541707566,0.02765609486870981,0.01575712455095274
raev2,21,21,0.05,0.040363971352832595,0.044188120014707545,0.030666746108294077
raev2,21,21,0.1,0.03524126503816453,0.048819175590479214,0.02428673280062067
raev2,21,21,0.2,0.02223281523901514,0.02519709114927273,0.014489489400367529
raev2,22,22,0.05,0.040200150846603354,0.05807938911417339,0.03990114479898851
raev2,22,22,0.1,0.04381154021489493,0.056044103408140665,0.028357579527805196
raev2,22,22,0.2,0.026879481267997385,0.023959122978541116,0.0158908388462431
raev2,23,23,0.05,0.03597482868072497,0.046240210709331514,0.03092277812023243
raev2,23,23,0.1,0.04071837325720837,0.039904748680403106,0.024878238060936253
raev2,23,23,0.2,0.03208851010581657,0.03450859514067765,0.017939787871997317
