arm,fid,independent_fid,mean_term,covariance_term,inception_score,sampling_seconds,full_per_image,prefix_per_image,pixel_sha256,feature_sha256
raw,40.56542686774952,40.565452313801124,0.7282897490935012,39.837162564707626,52.141122817993164,1234.0780135020614,125,50,4a3729ccbb74b85c9beac8e6446394fd6af51fb068852785fee53b40c65aa44e,2a6ab15d4b6f98ad4df68dad395b45245fa22dfc4fe4e63a307fa50743e9840b
ou,40.554934431380104,40.5549605214224,0.6212448129650744,39.93371570845733,53.19244499206543,1231.864004083909,125,50,6aefd4e79933faeac00b9880f2c059101e827f8e161d6936594fd0a88a290bc5,991dac9d38dff6d74f0fe343ee063693e83026e9571c687722e8d748861d2c94
