ambient_swd,condition,intrinsic_swd,off_subspace_rms,samples,seed
0.19002267718315125,D0_x_shared,0.15873485803604126,0.0032534156925976276,8192,20260831
0.09395717829465866,D4_gate_on_D0,0.0776495710015297,0.06093917787075043,8192,20260831
0.09896760433912277,scalar,0.0820046067237854,0.03359511122107506,8192,20260831
0.06652555614709854,pca,0.05461404100060463,0.004388086963444948,8192,20260831
0.14244186878204346,projected_x,0.11854154616594315,0.002499108435586095,8192,20260831
0.0997266098856926,projected_scalar,0.08245711028575897,0.0024986164644360542,8192,20260831
0.14466232061386108,D0_x_shared,0.11901780962944031,0.003128922777250409,8192,20260901
0.08311718702316284,D4_gate_on_D0,0.0685768574476242,0.06681841611862183,8192,20260901
0.09149263054132462,scalar,0.07562078535556793,0.026618771255016327,8192,20260901
0.06576398015022278,pca,0.053871411830186844,0.004131282214075327,8192,20260901
0.11910279095172882,projected_x,0.09785784035921097,0.002496524481102824,8192,20260901
0.09209991246461868,projected_scalar,0.07559159398078918,0.002496318658813834,8192,20260901
0.12763921916484833,D0_x_shared,0.10607675462961197,0.0035247397609055042,8192,20260902
0.0866210088133812,D4_gate_on_D0,0.07198483496904373,0.07475049793720245,8192,20260902
0.09486308693885803,scalar,0.07914822548627853,0.024694189429283142,8192,20260902
0.07294820994138718,pca,0.06011786311864853,0.004373668227344751,8192,20260902
0.1114925891160965,projected_x,0.09285588562488556,0.002497771754860878,8192,20260902
0.09514505416154861,projected_scalar,0.07932338863611221,0.002497687004506588,8192,20260902
