sample,index,noise_time,h,H,native_rms,latent_rms,identity_residual_rms,contrast_rms,contrast_over_native,contrast_cos_native,clock_rms,clock_over_native,clock_cos_native,state_rms,state_over_native,state_cos_native,total_rms,total_over_native,total_cos_native,contrast_cos_clock,contrast_cos_state,clock_cos_state,contrast_over_latent,clock_over_latent,state_over_latent,total_over_latent
0,0,1.0,0.025,0.025,0.0257934909313917,1.0067219734191897,1.75420705739171e-10,0.0031724285800009,0.122993379831314,0.2532086074352264,0.0024376981891691,0.0945082679390907,-0.2015641927719116,0.0006352843483909,0.0246296375989913,0.9474586248397828,0.0030796120408922,0.1193949282169342,0.2967383861541748,-0.4673070907592773,0.1412505060434341,-0.0864751562476158,0.0031512459882306852,0.002421421458488485,0.0006310424974963504,0.0030590491935253293
1,0,1.0,0.025,0.025,0.0251946616917848,0.9909542798995972,1.6043948114496942e-10,0.0027732506860047,0.110072948038578,0.090923011302948,0.0016705435700714,0.0663054585456848,-0.2320026457309723,0.0006336009828373,0.0251482240855693,0.9423186182975768,0.0030694513116031,0.1218294352293014,0.1503968685865402,-0.0827159881591796,-0.0365391820669174,-0.2677131295204162,0.0027985657282651667,0.0016857927797038815,0.0006393846776679708,0.0030974701596869787
2,0,1.0,0.025,0.025,0.0257759820669889,1.00141179561615,3.0312446996916265e-10,0.0032435380853712,0.1258356720209121,0.3864191472530365,0.0056847720406949,0.2205453068017959,-0.0818724185228347,0.0006236961344256,0.0241967942565679,0.979034662246704,0.0049546123482286,0.1922181844711303,0.2822742164134979,-0.5109400749206543,0.398117184638977,-0.2039926946163177,0.0032389653283198165,0.005676757619174204,0.0006228168443351033,0.004947627309682447
3,0,1.0,0.025,0.025,0.0252192579209804,1.0060867071151731,1.6013619597021744e-10,0.0026850765570998,0.1064692959189415,-0.000419148011133,0.0017776255263015,0.0704868286848068,-0.2315795421600341,0.0006117078592069,0.0242555849254131,0.994230091571808,0.0027908629272133,0.1106639578938484,0.0700110271573066,-0.2486725449562072,-0.0259206965565681,-0.2280022203922271,0.0026688321574180407,0.0017668710994091326,0.0006080070980769592,0.0027739785323431495
0,0,1.0,0.025,0.125,0.0257934909313917,1.0067219734191897,2.78975925693814e-10,0.0031724285800009,0.122993379831314,0.2532086074352264,0.0049883308820426,0.1933949440717697,-0.304123193025589,0.0007157491054385,0.0277492143213748,0.7159489989280701,0.0048417043872177,0.1877103149890899,-0.0415847636759281,-0.2980003952980041,0.0077286423183977,-0.3670819401741028,0.0031512459882306852,0.004955023346813852,0.0007109699841035144,0.004809375890320077
1,0,1.0,0.025,0.125,0.0251946616917848,0.9909542798995972,3.0170191345213477e-10,0.0027732506860047,0.110072948038578,0.090923011302948,0.0051425560377538,0.2041129171848297,-0.2509050071239471,0.0007684607408009,0.0305009353905916,0.6230737566947937,0.0056337104178965,0.2236073017120361,-0.0992832407355308,0.0922558009624481,-0.1661146134138107,-0.6214867830276489,0.0027985657282651667,0.005189498791281107,0.0007754754748914955,0.005685136572059917
2,0,1.0,0.025,0.125,0.0257759820669889,1.00141179561615,5.53611434472856e-10,0.0032435380853712,0.1258356720209121,0.3864191472530365,0.0100214947015047,0.3887919783592224,-0.125466763973236,0.0006431816145777,0.0249527487903833,0.818112313747406,0.0087129566818475,0.3380261659622192,0.0599331967532634,-0.4840873479843139,0.3335305750370025,-0.4165577888488769,0.0032389653283198165,0.01000736634556882,0.0006422748537548056,0.00870067310969368
3,0,1.0,0.025,0.125,0.0252192579209804,1.0060867071151731,3.518265678792432e-10,0.0026850765570998,0.1064692959189415,-0.000419148011133,0.0061113527044653,0.2423288077116012,-0.1620121747255325,0.0005971700302325,0.0236791279166936,0.8972082734107971,0.0061508351936936,0.2438943833112716,-0.0740473717451095,-0.1386541128158569,-0.0288521014153957,-0.3341683447360992,0.0026688321574180407,0.0060743797341173845,0.0005935572212705303,0.006113623358895522
0,5,0.875,0.025,0.025,0.0252723060548305,0.8845596313476562,2.1620640000552527e-10,0.0038990676403045,0.1542822271585464,0.2104710787534713,0.0008694970747455,0.0344051346182823,0.0525748170912265,0.0012999813770875,0.0514389686286449,0.1559752970933914,0.0038721491582691,0.1532170921564102,0.276104986667633,0.3351735770702362,-0.321971595287323,-0.7359932065010071,0.004407919491379162,0.0009829716888852277,0.0014696367898984208,0.004377487985032452
1,5,0.875,0.025,0.025,0.0238369181752204,0.8713526129722595,1.7651934081097664e-10,0.0033910474739968,0.1422603130340576,-0.0411481373012065,0.0006651785224676,0.0279053915292024,-0.1997726112604141,0.0008247247897088,0.034598633646965,0.5731317400932312,0.0033414145000278,0.1401781290769577,0.059931568801403,0.1951871067285537,-0.318762332201004,-0.5052782297134399,0.00389170517596733,0.0007633861568379513,0.0009464879974314784,0.003834744339183129
