arm,fid,independent_fid,inception_score,sampling_seconds,full_branches_per_sample,noise_sha256,label_sha256,pixel_sha256
ordinary110,40.551168049655246,40.55118726840948,68.85012741088867,1744.1751217572019,220.0,3bebe5620b03cd433af57362f9bb0fa7e4ea76881ef4d6d000e1c012378e58e1,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,4f3df31ac9646fa0ad2b035733ceb7e3a35b36cc86f48e1b14e72b1523ff9529
asynchronous,54.34304791605052,54.343064609061855,69.72189407348633,1738.8833764879964,220.0,3bebe5620b03cd433af57362f9bb0fa7e4ea76881ef4d6d000e1c012378e58e1,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,dfaa007e456f456b25d05d994cb020abb0979124f7acde6a6ef8ee3a3bc611ef
