model,arm,fid,independent_fid,mean_term,covariance_term,inception_score,sampling_seconds,full_per_image,prefix_per_image,pixel_sha256
sit,interaction,42.16675710422908,42.16678466612979,1.263802945524852,40.90298172060494,48.82115020751953,1425.6036052084528,100,150.0,5c135a4680be01caf0b0c5b5272fd5c41bea831423c2cbc2d13cacc9a713b3a5
sit,unconditional,40.99055588397471,40.9905812455775,0.9399977199367857,40.05058352564072,50.99627685546875,1272.1625307011418,100,150.0,a783b61d573dbb0d42b8dd48f30848a1d21d85bab643d64d675f6d0c9a9bda68
raev2,interaction,41.385437674404955,41.3854558848895,2.834481143031162,38.55097474185834,70.57925720214844,1319.4860725919716,100,267.0,b5c42cea83dea7233a38a3f3910fb7cca401f0346459a9a9a3227028e914a8c9
raev2,unconditional,49.22385477272638,49.22387491746578,2.6218189138791788,46.6020560035866,53.810552978515624,1325.85257501062,100,267.0,9a502450a3b01aa66fd79571348fbfc6d85214a73910d22429d9ff2db19ec209
