family,arm,fid,independent_fid,inception_score,sampling_seconds,model_forwards_per_sample,noise_sha256,label_sha256
cfg,short,64.15490355621074,64.15493742908018,41.996498107910156,73.53237780276686,100.0,8eb04ffae61ba07d513613e60c7add0f26b8400a675ea668ef7f5e7da69a5b17,88fa0b03248df38a33fa9c7ad98f66a44a0938c108d978c2d40fb81106a4a86e
cfg,asynchronous,58.44025041133261,58.44028289196564,46.554508209228516,72.85578913707286,100.0,8eb04ffae61ba07d513613e60c7add0f26b8400a675ea668ef7f5e7da69a5b17,88fa0b03248df38a33fa9c7ad98f66a44a0938c108d978c2d40fb81106a4a86e
ig,short,70.17069151189611,70.17072173053202,32.15001678466797,48.17483758693561,50.0,8eb04ffae61ba07d513613e60c7add0f26b8400a675ea668ef7f5e7da69a5b17,88fa0b03248df38a33fa9c7ad98f66a44a0938c108d978c2d40fb81106a4a86e
ig,asynchronous,64.77133120906552,64.77136176721746,38.53022384643555,48.54604000085965,50.0,8eb04ffae61ba07d513613e60c7add0f26b8400a675ea668ef7f5e7da69a5b17,88fa0b03248df38a33fa9c7ad98f66a44a0938c108d978c2d40fb81106a4a86e
