head,samples,data_velocity_mse,data_velocity_mse_delta_original,data_velocity_mse_paired_se,teacher_velocity_mse,teacher_velocity_mse_delta_original,teacher_velocity_mse_paired_se
original,1000,0.47727609661221504,0.0,0.0,0.06914125991333273,0.0,0.0
data,1000,0.484877345174551,0.007601248562335969,0.000226784681003759,0.0767315205801278,0.0075902606667950755,0.00022202683764080365
teacher,1000,0.47939155423641205,0.0021154576241970077,7.112154015280882e-05,0.07105332633340729,0.0019120664200745533,6.549274621322003e-05
