ambient_swd,condition,intrinsic_swd,off_subspace_rms,samples,seed
0.07905977964401245,D0_x_shared,0.06504262238740921,0.0033728224225342274,8192,20260831
0.056420326232910156,D4_gate_on_D0,0.04574790969491005,0.025422658771276474,8192,20260831
0.0567413866519928,scalar,0.04621066525578499,0.01764385960996151,8192,20260831
0.05344986170530319,pca,0.04323640465736389,0.0037404249887913465,8192,20260831
0.06332238018512726,projected_x,0.05200294405221939,0.0025009410455822945,8192,20260831
0.056834395974874496,projected_scalar,0.04634144529700279,0.0025010360404849052,8192,20260831
0.14858873188495636,D0_x_shared,0.1225786954164505,0.003416671883314848,8192,20260901
0.09840865433216095,D4_gate_on_D0,0.08120279014110565,0.02671961486339569,8192,20260901
0.09789107739925385,scalar,0.08085500448942184,0.02538728341460228,8192,20260901
0.06659937649965286,pca,0.05445501580834389,0.006973532028496265,8192,20260901
0.1253349334001541,projected_x,0.10342497378587723,0.002501274924725294,8192,20260901
0.09790895879268646,projected_scalar,0.08079534024000168,0.002501195762306452,8192,20260901
0.3033239245414734,D0_x_shared,0.24521778523921967,0.004716337658464909,8192,20260902
0.15192344784736633,D4_gate_on_D0,0.1228962168097496,0.044259026646614075,8192,20260902
0.1465366780757904,scalar,0.11831340938806534,0.05135255306959152,8192,20260902
0.06439513713121414,pca,0.052827462553977966,0.007033633533865213,8192,20260902
0.2388947457075119,projected_x,0.1931675225496292,0.002501650247722864,8192,20260902
0.1462336927652359,projected_scalar,0.11836778372526169,0.002501097274944186,8192,20260902
