arm,fid,independent_fid,inception_score,sampling_seconds,full_forwards_per_sample,prefix_forwards_per_sample,noise_sha256,label_sha256,pixel_sha256
ordinary,38.264238946601836,38.264263257648395,59.07736701965332,802.9826601501554,100.0,0.0,3bebe5620b03cd433af57362f9bb0fa7e4ea76881ef4d6d000e1c012378e58e1,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,0de7afa03228b6d2bd068368a1e02977de4bc03df6aa9272d7b9b55af16f648e
posterior,42.80148112617081,42.8015063405889,48.08678855895996,1153.2719993321225,100.0,178.0,3bebe5620b03cd433af57362f9bb0fa7e4ea76881ef4d6d000e1c012378e58e1,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,327666c76c14bdc0c8828c6dd77b9afb296d3db9536f9e1656cfd7c08ac32d38
ordinary150,38.458631125585384,38.45865573729617,59.443728637695315,1195.200049568899,150.0,0.0,3bebe5620b03cd433af57362f9bb0fa7e4ea76881ef4d6d000e1c012378e58e1,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,184f3fc17fd9c5523453fcc03c3b54fa6858f49ae46e2ca436909f66f8896385
