arm,fid,independent_fid,inception_score,sampling_seconds,full_forwards_per_sample,noise_sha256,label_sha256,pixel_sha256
none,38.264238946601836,38.264263257648395,59.07736701965332,802.9826601501554,100.0,3bebe5620b03cd433af57362f9bb0fa7e4ea76881ef4d6d000e1c012378e58e1,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,0de7afa03228b6d2bd068368a1e02977de4bc03df6aa9272d7b9b55af16f648e
all,48.97231044383079,48.97232631081215,70.86370697021485,880.7692387998104,110.0,3bebe5620b03cd433af57362f9bb0fa7e4ea76881ef4d6d000e1c012378e58e1,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,2f235f0dd4965624dc4318b759fcf277bbe41308a854299f0edd4f9785ed269e
future_ig,41.88166467893694,41.88169265387364,52.92123107910156,873.380590417888,110.0,3bebe5620b03cd433af57362f9bb0fa7e4ea76881ef4d6d000e1c012378e58e1,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,245beb16e95b53adee4df6a3b6c09e5b28a548898a7da837f8f6e2ee925bb93b
