model_precision,data_time,residual_energy,pair_difference_energy,residual_over_pair_difference
sit,0.05,0.0005062025339565046,0.004834205558554342,0.10471266226169401
sit,0.1,0.00026634871642099476,0.003173777431893021,0.08392167445154756
sit,0.2,0.000417626644920375,0.0043111145176860126,0.09687208335735321
raev2,0.05,0.04903746525395383,0.0609471417235686,0.8045900737456696
raev2,0.1,0.043040349799960215,0.04856632005272648,0.886218057148103
raev2,0.2,0.024074369793306332,0.028588956322762968,0.8420863469625139
raev2_fp32,0.05,0.04830941265125425,0.06040541704542824,0.7997529859767855
raev2_fp32,0.1,0.04201412448474578,0.04766464656352381,0.8814525547515086
raev2_fp32,0.2,0.022988231243641855,0.027810876635090326,0.8265913924711202
