head,original_risk,fitted_fp64_risk,fitted_bf16_coeff_risk,normal_equation_relative_residual
data,0.4783352947892725,0.4748491427207095,0.4748512730393469,3.640801003109859e-15
teacher,0.06962703145092,0.0684886597049799,0.0684907328342004,3.623768807951079e-15
