arm,fid,independent_fid,mean_term,covariance_term,inception_score,sampling_seconds,full_per_image,prefix_per_image,pixel_sha256,feature_sha256
full,38.874133972672894,38.87415822986683,0.26968447870811857,38.60447375115871,56.43095245361328,804.1456838436425,100,0.0,50086f4b301bdd6a8e983e2fb931cc07ec2a9f42105afcc65fe23d6dc3c31d4c,f21d2124b45ad669417bd53eab898d1ae76fffd0ad5af9c057aaccd6533fe08e
full_pfr,54.13736594706552,54.137384548120416,5.283816493631056,48.85356805448936,61.4506477355957,960.9916924908757,100,89.0,87721b1901c46cbc0f54b02032bc215f1210d13c44d58a04def6638d15274bbf,78c0488d336ff4f92a5bfcc18b9b08038b5c36363a137004426d16d8f53eded7
