head,region,samples,data_velocity_mse,data_velocity_mse_delta_original,data_velocity_mse_paired_se,teacher_velocity_mse,teacher_velocity_mse_delta_original,teacher_velocity_mse_paired_se,response_rms,response_rms_delta_original,response_rms_paired_se,response_cos_full,response_cos_full_delta_original,response_cos_full_paired_se,response_mse_to_full,response_mse_to_full_delta_original,response_mse_to_full_paired_se
original,all,1000,0.47727609661221504,0.0,0.0,0.06914125991333273,0.0,0.0,0.15492076495289803,0.0,0.0,0.6890072422623634,0.0,0.0,0.016842908478341946,0.0,0.0
original,noise_gt_half,981,0.47462650024684316,0.0,0.0,0.06727650462081092,0.0,0.0,0.1561373332315993,0.0,0.0,0.6946389867139032,0.0,0.0,0.017004742373965792,0.0,0.0
data,all,1000,0.5154432825893164,0.03816718597710132,0.0008173843500917879,0.10722698201611636,0.03808572210278362,0.0008062012681018102,0.15545239612460138,0.0005316311717033373,5.3594411141593e-05,0.6832136460095644,-0.005793596252799035,0.00017415741808948543,0.0173359291683882,0.000493020690046251,2.5951587146278092e-05
data,noise_gt_half,981,0.51015439612846,0.03552789588161686,0.00045929563895772963,0.10273626996973236,0.03545976534892143,0.0004449265797278177,0.15659851569465905,0.00046118246305973046,4.747978413947119e-05,0.6893807187235926,-0.005258267990310622,7.774322022361651e-05,0.017482082516137202,0.0004773401421714085,2.4604040766362515e-05
teacher,all,1000,0.4984071327149868,0.02113103610277176,0.0004951929271271135,0.08998494184855368,0.020843681935220956,0.0004850866095587924,0.15484753876924515,-7.322618365287627e-05,3.344601892015562e-05,0.68655332416296,-0.002453918099403382,0.00012136546648953563,0.017041504438966463,0.00019859596062451505,1.3353230636834403e-05
teacher,noise_gt_half,981,0.4941838131828289,0.019557312935985678,0.00027502490525958335,0.08656151251816145,0.019285007897350524,0.0002624889555054995,0.15602285466579366,-0.00011447856580566892,2.94134263384132e-05,0.6925643312153344,-0.002074655498568801,5.230907578273364e-05,0.01719271369842346,0.00018797132445766906,1.20805035450236e-05
