model,sample,label,data_time,conditional_energy,unconditional_energy,posterior_difference_energy,raw_revision_energy,conditional_unconditional_cosine,conditional_posterior_cosine,raw_conditional_cosine,raw_posterior_cosine,raw_unconditional_cosine
raev2,0,0,0.05,0.045225241833400036,0.04809186041328091,0.06001884781029511,0.028986871106396302,0.3569975486970788,0.548490238967412,0.6267801441286952,0.2480961959833082,0.33065440500569
raev2,1,0,0.05,0.05519314102404238,0.04752250026765114,0.022518985854413937,0.029094560285090797,0.7829500656873704,0.4281646188711655,0.7156018862303428,0.20313440725143525,0.6313627840615256
raev2,2,0,0.05,0.04771199828293755,0.02287355467040878,0.05184616921276171,0.023898332239401583,0.2836251084266901,0.7709142864158226,0.48766035642035216,0.1801489032159879,0.43309003876413915
raev2,3,0,0.05,0.04719224826403136,0.017595918707428326,0.04989170783115629,0.036856559327593845,0.25847095452770025,0.819072338462536,0.7582547612228909,0.5659077521600421,0.28886523506728407
raev2,0,0,0.1,0.024324007487125404,0.021095606339161115,0.02684286984882601,0.011356053919890394,0.41003981576055665,0.5884231514928095,0.423430669357035,0.11643584750681676,0.3233354557811093
raev2,1,0,0.1,0.02586600502210404,0.024352866842735733,0.015372252184163791,0.0129304815695667,0.6942101096284105,0.42339690650441053,0.45389573907965675,0.15405251632539993,0.3453897348967342
raev2,2,0,0.1,0.025943581151844267,0.028503680793310452,0.022916991317922367,0.012356979657398424,0.5797386671588739,0.4174338926377885,0.4733233811007524,0.00866899010274392,0.4437941145735579
raev2,3,0,0.1,0.028179684434633475,0.025379386263742296,0.023773082800595095,0.01709203540861404,0.5568950947703987,0.5133410610942087,0.41831318937928114,0.19486535683724296,0.25218939929082634
raev2,0,0,0.2,0.014609482685036087,0.018556735336361704,0.01007818104312178,0.006555666092348217,0.7011142720543235,0.2526316456939813,0.3384599574381891,0.009788149363638437,0.29309944403358895
raev2,1,0,0.2,0.01708163418417717,0.016848704731195704,0.00826097302420472,0.007041815771481394,0.7565492003808618,0.3575172196607251,0.3227540073003821,0.01786590032464584,0.3124673509239526
raev2,2,0,0.2,0.014540994450220597,0.01647853820358832,0.006000407701313651,0.007172031923488378,0.8081383647648798,0.21747775917760126,0.35141243526615684,-0.01729239047536961,0.3405419261803861
raev2,3,0,0.2,0.018648709562951525,0.015956109533313282,0.009568544860090268,0.00700322088607643,0.7256911172170591,0.45893765011566545,0.3779901058384253,0.05217842872688338,0.36823399205841084
raev2,4,1,0.05,0.03285549315441198,0.03021665957804682,0.01836440259937034,0.015687843622362807,0.7094562161969293,0.4275272709578099,0.5540646841468527,0.14277594451362924,0.4664452875863258
raev2,5,1,0.05,0.029994014098842232,0.04253903029937117,0.040948097965790804,0.017985537859449528,0.4421188792729121,0.40522973532454115,0.5975293189965833,0.06724988582784946,0.4357642662086072
raev2,6,1,0.05,0.0324748107864702,0.03553692531800113,0.015297239697589171,0.023396417030927753,0.7758661897475062,0.2744723307066758,0.618067403392712,0.07632272475568866,0.5407641576141776
raev2,7,1,0.05,0.029642100277752388,0.042683509998221805,0.04727697030702016,0.016022099263344837,0.3521029031924117,0.45726519185603987,0.5631694967959343,0.1558202076426946,0.3053235990663812
raev2,4,1,0.1,0.016357654374574093,0.018163697971442842,0.010045466075671094,0.011069836761526501,0.7099794545061004,0.321381754104776,0.462732897593929,-0.00010807307119319077,0.43920596927595323
raev2,5,1,0.1,0.024763280192736093,0.020534471117898696,0.018027487383951803,0.011287551951165119,0.6046631452090828,0.5266853227459536,0.39433491073695603,0.017718938671228875,0.416437419564428
raev2,6,1,0.1,0.02680861099503427,0.028940226298384317,0.013354648398773535,0.015506077000285366,0.7610062385915363,0.2965697576305664,0.5541279706501059,0.03829048853106169,0.5073193643261331
raev2,7,1,0.1,0.021179487205709835,0.025109121347500724,0.022050724566830656,0.011562700827222744,0.5255223956254266,0.41926168860455093,0.44470679449723793,0.04323433381643622,0.36791240418024385
raev2,4,1,0.2,0.013550410377008727,0.013361508083500456,0.004966585303499126,0.00738168832427551,0.8154704331292021,0.3142205446819329,0.3723644481878678,0.06654599246015262,0.3344157248284373
raev2,5,1,0.2,0.016532351990383796,0.016773687269956275,0.009682502759037644,0.0067853725456046374,0.7093054958793852,0.3731080075259708,0.36365182799014245,0.034712829780793306,0.334652678845545
raev2,6,1,0.2,0.015900716845363767,0.017271735940818336,0.007929326374154297,0.006922075705622326,0.7616172988136671,0.2920352435472188,0.34546860620858333,-0.004332708429080651,0.33440928604012465
raev2,7,1,0.2,0.013835633697085877,0.016145574476569162,0.00891066874019679,0.0067886191468543265,0.7048868030235825,0.2972399376712105,0.3350429448147584,-0.034992735572525906,0.3361470344716024
raev2,8,2,0.05,0.024636378320785204,0.021009602292526533,0.018102225682888322,0.017300226582437475,0.6053350232558694,0.5144644366499221,0.6579550222729033,0.2605447932815904,0.4706386829064318
raev2,9,2,0.05,0.03756186124456591,0.05065584967124169,0.04644017724580285,0.01711920120385602,0.47887751730983746,0.3992047709513322,0.6227600989008577,0.1221434216335623,0.4193145581249399
raev2,10,2,0.05,0.030563366388108193,0.01898058600372611,0.018480505059637137,0.018111207529258266,0.6448582391482871,0.6324831105520368,0.5774986386230869,0.19864522792424083,0.5368081391441807
raev2,11,2,0.05,0.045351718799146123,0.044206046282202587,0.02068744418702553,0.026062473393212576,0.7690673926215972,0.35639815342977815,0.5986777307470272,0.015594798218821024,0.5957177378194466
raev2,8,2,0.1,0.014648518937700007,0.018210698440646093,0.010294138531459829,0.010753283190732484,0.6907910464747836,0.27410667137780176,0.4714340813687933,-0.006294615657703052,0.4275516492664568
raev2,9,2,0.1,0.027542097158413992,0.023472696241068923,0.014855594623579637,0.0119162631658697,0.7110641951890314,0.46780220790162774,0.4733140419872934,0.0886537145821108,0.4421758211104814
raev2,10,2,0.1,0.029775327232106973,0.028394538291500803,0.007892001032371695,0.01359925232520386,0.8645719679152498,0.3024534824492295,0.4932458097230799,0.0862653646539057,0.459617217015467
raev2,11,2,0.1,0.044973759108530846,0.06714355869969477,0.017608940236758387,0.014155836826417781,0.8599209694059737,-0.08103459753431155,0.42721088852594585,-0.06453453022320095,0.382687755496784
raev2,8,2,0.2,0.012206813825812455,0.013830766687032,0.0053509333416575655,0.00669250144286073,0.7960417092515829,0.230574455311866,0.3443443552666307,-0.0009580843401701057,0.324093483962266
raev2,9,2,0.2,0.01285146157856531,0.014129862631620624,0.004458495340269997,0.006541312653178765,0.8356948202781638,0.21005817202601582,0.3442982373715765,0.017565318139691952,0.31848692222621044
raev2,10,2,0.2,0.017908899326155043,0.017570571122154963,0.0049926940596556856,0.00785421447167931,0.8593184234781067,0.2818892901342252,0.33918884848302516,-0.009766878151037274,0.3476451981345764
raev2,11,2,0.2,0.028384789217440438,0.02362391008939793,0.006553240018396273,0.007304338092143554,0.8776822740952385,0.41478197782593185,0.3073709337882668,0.01989070352684371,0.32644612508084825
raev2,12,3,0.05,0.04080178767826185,0.05028601339824582,0.019954850890093193,0.025428631779823588,0.7851951824333713,0.18347579482604753,0.6820075215091056,0.11500742893140178,0.5418868333491921
raev2,13,3,0.05,0.048437545892389425,0.02831906870896419,0.029049176002482434,0.03260550397592507,0.6440588542828461,0.6553774726149431,0.6457594671122884,0.2781559063351737,0.5628254382247128
raev2,14,3,0.05,0.03119517698863089,0.039293516698103326,0.0113288929434727,0.02177787064191085,0.8448751379414707,0.0859230021660933,0.6133451782871892,-0.05269418171193447,0.5747916715230967
raev2,15,3,0.05,0.05412350123502141,0.04926333291086881,0.042785988669079,0.034181177689633455,0.5868050608455787,0.49505580135579513,0.7025175666214402,0.20391704713430708,0.5463178228744447
raev2,12,3,0.1,0.038728430923564344,0.03961727773164811,0.017313199934128665,0.013762709448134942,0.7790654778380137,0.31714265304969586,0.5092430939605984,0.021776118819652964,0.48910253701238066
