ambient_swd,condition,intrinsic_swd,off_subspace_rms,seed
0.05729100853204727,D3_oracle_bayes_gate,0.0459335558116436,0.011708189733326435,20260831
0.05715874955058098,D4_gate_on_D0,0.04562859609723091,0.025392502546310425,20260831
0.057017017155885696,scalar,0.0456843376159668,0.017488867044448853,20260831
0.05552077665925026,pca,0.04436374083161354,0.003655016887933016,20260831
0.05702849477529526,random,0.045685842633247375,0.017654873430728912,20260831
0.1044122725725174,D3_oracle_bayes_gate,0.08587006479501724,0.01326620951294899,20260901
0.099453866481781,D4_gate_on_D0,0.08170735090970993,0.02669975347816944,20260901
0.09852585196495056,scalar,0.08102238178253174,0.025535712018609047,20260901
0.06383249163627625,pca,0.052091218531131744,0.007655647583305836,20260901
0.09850189834833145,random,0.08099840581417084,0.025469398126006126,20260901
0.15822124481201172,D3_oracle_bayes_gate,0.12866857647895813,0.02185051701962948,20260902
0.13993920385837555,D4_gate_on_D0,0.11380250751972198,0.04416566342115402,20260902
0.13474059104919434,scalar,0.10942099243402481,0.05129225552082062,20260902
0.05816889554262161,pca,0.04719120264053345,0.0070432149805128574,20260902
0.13497568666934967,random,0.10962994396686554,0.05092138424515724,20260902
