head,original_risk,fitted_fp64_risk,fitted_bf16_coeff_risk,normal_equation_relative_residual
data,0.4783188899901885,0.4707903321926455,0.4707926006179818,3.599636726006885e-15
teacher,0.0695366185053399,0.067127539089668,0.067129643841262,3.543397729027809e-15
