ambient_swd,condition,intrinsic_swd,off_subspace_rms,samples,seed
0.1019030436873436,D0_x_shared,0.08019135147333145,0.06326630711555481,8192,20260831
0.05424441397190094,D4_gate_on_D0,0.042450640350580215,0.06609343737363815,8192,20260831
0.056930042803287506,scalar,0.04497692734003067,0.04840933904051781,8192,20260831
0.041913989931344986,pca,0.030366482213139534,0.05349929630756378,8192,20260831
0.35821813344955444,projected_x,0.23766079545021057,0.4339688718318939,8192,20260831
0.3113408386707306,projected_scalar,0.19511398673057556,0.43102025985717773,8192,20260831
0.08855100721120834,D0_x_shared,0.06812284141778946,0.06843820214271545,8192,20260901
0.06035258248448372,D4_gate_on_D0,0.046619515866041183,0.05447371304035187,8192,20260901
0.06085802614688873,scalar,0.04717835783958435,0.04753361642360687,8192,20260901
0.052136700600385666,pca,0.0391671247780323,0.05573822557926178,8192,20260901
0.2998336851596832,projected_x,0.19253304600715637,0.4297272562980652,8192,20260901
0.272289901971817,projected_scalar,0.1637892723083496,0.42939984798431396,8192,20260901
0.11179476231336594,D0_x_shared,0.08864853531122208,0.08632563799619675,8192,20260902
0.05611828342080116,D4_gate_on_D0,0.04293053597211838,0.06402464956045151,8192,20260902
0.0568484403192997,scalar,0.043645717203617096,0.057793647050857544,8192,20260902
0.04977792128920555,pca,0.03616880998015404,0.059582941234111786,8192,20260902
0.32784008979797363,projected_x,0.2137661576271057,0.4273170828819275,8192,20260902
0.28491973876953125,projected_scalar,0.17065081000328064,0.42651450634002686,8192,20260902
